sloc1	scate2	platform	clks	clks_one_day
375	14455	app	1772	253
375	34806	m	3	0
375	35984	pc	13	1
375	38116	app	16	2
385	26523	pc	114	16
394	37981	app	108	15
399	234	app	233	33
4	309	app	936	133
4	8493	pc	1530	218
400	95	app	940	134
403	111	pc	333	47
403	113	m	2	0
403	26531	app	41	5
403	35984	m	27	3
403	8719	app	79	11
407	360	pc	21	3
407	8609	m	2	0
408	190	m	17	2
408	350	pc	9	1
413	26521	pc	52	7
413	26523	m	571	81
414	26513	m	1195	170
414	8537	pc	365	52
414	8609	app	110	15
424	190	pc	133	19
428	152	m	1	0
428	314	m	3	0
450	37861	app	32	4
471	34807	app	51	7
471	611	app	359	51
483	609	app	7692	1098
497	145	app	80	11
497	8493	m	29	4
5	111	m	3248	464
5	14000	app	2496	356
5	8645	pc	249	35
5	8717	app	79	11
502	14354	app	75	10
505	343	app	97	13
505	35691	pc	111	15
505	8761	app	28	4
518	37866	app	4	0
518	95	app	3800	542
520	609	m	8	1
531	34323	app	114	16
5333	710	app	173	24
5333	97	app	104	14
5334	133	pc	6	0
5334	14455	pc	62	8
5334	38116	pc	1	0
536	125	m	132	18
536	8543	m	4	0
536	8659	pc	22	3
537	14455	app	151	21
541	145	app	116	16
541	8493	m	419	59
556	37981	app	151	21
5632	35136	pc	74	10
5633	311	pc	45	6
5653	111	pc	55	7
5653	26513	m	34	4
5653	8719	app	42	6
5669	196	pc	7	1
5695	96	app	2027	289
5722	152	m	5	0
5756	15520	m	4	0
5756	171	app	83	11
5756	36011	pc	26	3
5772	15520	pc	5	0
5845	8752	app	6	0
5898	798	m	11	1
592	130	app	161	23
5936	199	pc	5	0
5942	798	m	61	8
5958	35694	app	2	0
606	152	pc	84	12
606	314	pc	12	1
606	36014	m	38	5
613	35828	m	70	10
613	36014	app	34	4
629	14354	pc	211	30
637	26516	m	72	10
645	609	app	617	88
648	14326	pc	15	2
648	798	m	5	0
652	14286	pc	58	8
669	14000	m	2435	347
669	207	app	355	50
6700	171	pc	13	1
6700	199	app	62	8
6718	190	app	75	10
6752	310	m	104	14
6770	130	m	77	11
6770	156	app	913	130
6776	8442	pc	3	0
6776	8444	m	45	6
6788	34323	pc	9	1
6803	14354	pc	4	0
686	460	pc	127	18
6921	196	m	38	5
6921	310	app	529	75
6921	35828	pc	7	1
693	26521	app	6	0
696	360	pc	20	2
696	8609	m	2	0
6964	36011	m	44	6
6964	36488	app	9	1
699	23087	app	22	3
700	311	m	39	5
710	35136	m	133	19
710	8493	app	57	8
7133	125	pc	272	38
7133	460	m	457	65
7133	8543	pc	110	15
7154	37863	app	15	2
722	207	pc	202	28
725	350	m	1	0
728	14255	pc	61	8
728	14419	m	18	2
728	24056	pc	4	0
728	35694	pc	113	16
728	8692	pc	6	0
7289	196	pc	8	1
7303	207	pc	59	8
7303	26517	app	20	2
740	360	pc	416	59
740	8445	pc	147	21
740	8609	m	45	6
7452	8523	m	180	25
7453	35694	m	469	67
7468	234	m	169	24
751	29389	pc	2	0
7576	207	m	2	0
7576	26515	app	4	0
7620	207	m	47	6
771	168	pc	751	107
771	212	pc	268	38
771	8658	app	15	2
771	96	m	4200	600
776	118	pc	21	3
783	14526	m	7	1
79	14326	pc	1412	201
79	798	m	196	28
791	14354	app	892	127
7921	111	app	64	9
7921	14363	m	2	0
7921	203	m	375	53
7951	190	pc	43	6
7951	36012	app	10	1
801	36008	m	9	1
811	118	app	171	24
834	311	pc	10	1
837	309	app	338	48
837	8493	pc	469	67
8398	14326	pc	21	3
845	111	app	445	63
845	203	m	6867	981
8481	111	m	183	26
8481	8645	pc	14	2
8481	8717	app	14	2
858	360	pc	130	18
858	8445	pc	33	4
8694	168	pc	212	30
8694	212	pc	48	6
8694	26522	app	2	0
8694	96	m	990	141
872	14363	pc	23	3
872	26513	app	8	1
882	37981	m	23	3
8854	234	m	200	28
891	356	m	25	3
891	41588	app	13	1
8973	14255	pc	2	0
8973	24056	pc	6	0
8973	35694	pc	7	1
901	14379	app	39	5
910	14379	pc	60	8
910	190	app	357	51
914	196	pc	35	5
914	23087	pc	22	3
9146	35691	pc	1	0
927	14001	app	44	6
927	35981	pc	24	3
933	168	pc	86	12
933	212	pc	14	2
933	96	m	965	137
9357	125	app	227	32
9357	710	pc	4	0
9357	8543	app	18	2
9357	97	pc	104	14
9363	8645	app	26	3
9363	8735	pc	20	2
9409	8752	app	7	1
944	102	pc	8	1
9449	8442	pc	14	2
9449	8444	m	74	10
946	14354	m	78	11
9472	118	pc	11	1
9472	26518	pc	3	0
9472	8608	app	43	6
9481	8608	pc	10	1
9499	8719	m	3	0
9517	145	app	4	0
9517	8493	m	8	1
952	14526	app	266	38
952	8442	m	153	21
952	8558	pc	80	11
9530	311	pc	57	8
9539	23087	m	21	3
961	14526	pc	37	5
9617	128	m	8	1
9617	14286	pc	2	0
9617	8546	m	2	0
968	15520	m	5	0
968	36011	pc	31	4
9688	8609	pc	4	0
9704	14379	app	28	4
9704	309	pc	1	0
9706	460	pc	3	0
9709	14419	pc	49	7
9717	190	m	5	0
9717	23087	pc	123	17
9717	350	pc	16	2
9749	102	app	76	10
9749	14354	m	87	12
9749	148	pc	1	0
977	133	app	37	5
979	203	pc	22	3
979	35984	app	2	0
9799	145	m	4	0
9799	710	app	31	4
9799	97	app	314	44
9837	203	pc	16	2
9837	26513	app	6	0
984	15520	pc	31	4
984	8735	m	205	29
9854	37981	app	4	0
9854	8523	app	36	5
9871	14419	app	18	2
9871	29389	m	10	1
9871	360	m	7	1
9871	8445	m	25	3
9902	23065	m	1	0
9909	168	pc	14	2
9909	212	pc	6	0
9909	96	m	62	8
993	8645	m	4	0
9976	8645	app	2	0
9976	8735	pc	74	10
9993	14379	app	18	2
9993	309	pc	110	15
10015	125	app	17	2
10015	710	pc	15	2
10015	8543	app	26	3
10015	97	pc	28	4
10039	310	m	7	1
10039	36014	pc	2	0
10088	8516	pc	20	2
10120	102	m	99	14
10120	128	app	8	1
10120	8546	app	14	2
10134	35136	app	90	12
10134	35721	pc	1	0
10159	29389	app	38	5
10159	360	app	14	2
10159	8445	app	40	5
10159	8537	m	9	1
1016	311	app	127	18
10171	113	app	2	0
10171	203	pc	58	8
10171	26513	app	48	6
10175	8537	pc	8	1
102	14502	pc	1605	229
102	22431	app	3749	535
102	8444	pc	273	39
102	8516	app	6747	963
102	8608	m	901	128
10260	14526	pc	15	2
10266	343	app	3	0
10285	199	pc	10	1
1029	111	m	138	19
1029	8645	pc	11	1
1029	8717	app	30	4
10304	171	m	11	1
10362	8692	app	79	11
10387	611	m	5	0
10387	8442	app	17	2
1039	460	pc	44	6
10394	22431	m	1	0
10394	611	app	4	0
10417	35691	pc	9	1
10461	311	m	24	3
10467	207	m	1	0
10485	29389	m	35	5
10485	360	m	44	6
10485	8445	m	11	1
10492	29389	app	8	1
10492	360	app	190	27
10492	8445	app	187	26
10492	8537	m	10	1
10506	35694	m	13	1
10513	35694	app	92	13
10539	96	pc	129	18
10552	130	m	7	1
10552	156	app	218	31
10564	128	m	12	1
10564	14286	pc	35	5
1057	190	app	153	21
1078	234	m	614	87
1086	152	pc	24	3
1086	314	pc	3	0
1096	96	pc	203	29
11226	8719	pc	1	0
11296	8516	m	28	4
12291	190	app	260	37
12804	8752	pc	1	0
135	309	pc	155	22
13950	133	app	2	0
13950	14455	app	330	47
13950	34806	m	2	0
13950	38116	app	2	0
13951	26523	app	81	11
13951	710	m	2	0
13951	8659	app	16	2
13951	95	pc	56	8
13951	97	m	106	15
147	360	pc	875	125
147	8445	pc	153	21
147	8609	m	83	11
158	29389	pc	176	25
16	14326	app	852	121
172	35694	m	1485	212
1734	152	app	8	1
1734	314	app	12	1
188	38115	app	11	1
188	8558	app	1815	259
2	168	pc	6628	946
2	212	pc	2024	289
2	37865	pc	17	2
2	8658	app	138	19
2	96	m	19664	2809
2015	168	pc	1112	158
2015	212	pc	202	28
2015	8658	app	38	5
2015	96	m	12035	1719
202	29389	pc	184	26
2032	14526	pc	11	1
2038	343	app	24	3
2039	171	app	13	1
2039	36011	pc	9	1
2040	14286	m	265	37
2041	26516	m	91	13
2041	611	m	10	1
2041	8442	app	200	28
2043	14326	app	302	43
2046	15520	app	5	0
2046	34323	m	65	9
2047	343	pc	2	0
2048	199	app	8	1
2049	37866	pc	1	0
2050	8442	pc	16	2
2052	14326	pc	395	56
2053	34323	app	486	69
2053	609	m	1028	146
2054	8855	m	12	1
2055	15520	pc	6	0
222	168	pc	1471	210
222	212	pc	621	88
222	37865	pc	8	1
222	8658	app	26	3
222	96	m	5074	724
2247	125	pc	85	12
2247	460	m	339	48
2247	8543	pc	80	11
2296	130	pc	15	2
2296	14001	pc	27	3
2299	102	m	169	24
2299	128	app	4	0
2302	23087	m	151	21
2302	350	m	13	1
2315	35981	m	28	4
2319	14502	m	2	0
2323	36008	m	3	0
2323	8746	app	4	0
2328	22431	m	61	8
2328	26516	app	33	4
2328	611	app	91	13
2337	118	m	73	10
2337	26516	pc	15	2
2337	611	pc	175	25
2337	8444	app	109	15
2344	118	app	20	2
2344	22431	pc	12	1
2344	26518	app	11	1
2344	35691	m	2	0
2346	8444	pc	39	5
2346	8516	app	744	106
2346	8608	m	6	0
2350	102	app	249	35
2350	14354	m	18	2
2350	148	pc	2	0
2360	35691	pc	72	10
2363	36011	app	227	32
2364	343	m	4	0
2371	343	app	2	0
2372	15520	m	9	1
2372	171	app	36	5
2372	36011	pc	17	2
2378	111	app	119	17
2378	203	m	1073	153
2380	343	pc	3	0
2381	171	pc	10	1
2381	199	app	12	1
2389	8537	app	190	27
2390	199	pc	5	0
2392	133	app	23	3
2392	14455	app	282	40
2392	35984	pc	2	0
2393	26523	app	80	11
2393	710	m	13	1
2393	8659	app	8	1
2393	95	pc	50	7
2393	97	m	59	8
2394	203	pc	97	13
2394	26513	app	45	6
2398	8537	pc	8	1
2398	8609	app	22	3
2404	14000	app	82	11
241	14526	app	479	68
241	38115	pc	7	1
241	38117	m	12	1
241	8442	m	425	60
241	8558	pc	528	75
2422	111	app	318	45
2422	203	m	860	122
2501	168	app	245	35
2501	212	app	27	3
2501	36008	pc	11	1
276	125	m	869	124
276	8543	m	57	8
276	8659	pc	425	60
291	14000	m	1257	179
291	207	app	150	21
291	8717	m	30	4
297	24056	app	8	1
297	35694	app	99	14
304	8659	m	556	79
3157	14419	pc	1	0
3177	186	pc	14	2
3177	36008	app	588	84
3198	35691	app	4	0
3198	8558	m	35	5
3237	8444	pc	14	2
3237	8516	app	437	62
3237	8608	m	1	0
330	14455	pc	281	40
330	38116	pc	3	0
3350	23065	m	312	44
3359	102	app	101	14
3359	148	pc	3	0
342	356	m	52	7
342	41588	app	197	28
3434	171	pc	9	1
3434	199	app	26	3
3445	133	app	80	11
3445	14455	app	563	80
3445	35984	pc	19	2
3453	710	app	2	0
3453	97	app	58	8
3470	207	app	123	17
3470	8717	m	5	0
3479	8752	pc	1	0
3489	234	pc	121	17
362	156	m	2480	354
362	36014	pc	81	11
37	8645	m	83	11
375	14502	m	35	5
375	8442	pc	46	6
375	8444	m	78	11
385	609	app	2371	338
394	609	pc	501	71
397	35721	m	2	0
399	145	app	13	1
399	8493	m	6	0
4	102	app	2373	339
4	148	pc	304	43
4	36008	pc	321	45
400	96	pc	49	7
403	14526	app	182	26
403	38115	pc	6	0
403	38117	m	6	0
403	8442	m	76	10
403	8558	pc	39	5
407	343	app	2	0
407	35691	pc	3	0
408	171	app	17	2
413	14354	pc	903	129
428	133	app	4	0
450	35136	m	117	16
450	8493	app	94	13
455	34806	pc	1	0
463	14539	app	13	1
468	14419	m	4	0
468	24056	pc	4	0
468	35694	pc	1	0
469	310	m	32	4
471	360	app	875	125
471	8445	app	414	59
471	8537	m	195	27
483	196	app	739	105
483	23087	app	1315	187
497	23442	app	3	0
497	36008	m	39	5
5	14001	pc	749	107
5	8558	m	1808	258
500	8523	pc	59	8
518	96	pc	389	55
520	23087	m	3	0
520	310	app	12	1
523	37861	pc	12	1
523	37863	m	58	8
523	8746	m	50	7
531	130	m	76	10
531	156	app	1047	149
531	35828	pc	29	4
5333	14286	app	63	9
5334	22431	m	54	7
5334	26516	app	93	13
5334	611	app	112	16
537	8442	pc	7	1
541	148	m	106	15
541	23442	app	49	7
541	36008	m	2261	323
556	609	pc	452	64
5632	234	m	466	66
5653	8442	m	19	2
5653	8558	pc	13	1
5669	35984	app	17	2
5695	125	app	163	23
5695	710	pc	12	1
5695	8543	app	41	5
5695	97	pc	14	2
5709	14379	app	50	7
5709	309	pc	62	8
572	171	m	128	18
5722	133	app	20	2
5722	14455	app	1106	158
5722	35984	pc	34	4
5722	38116	app	2	0
5733	26515	m	1	0
5756	8752	pc	20	2
577	8493	pc	122	17
5898	23442	app	2	0
5898	36008	m	26	3
5898	8746	app	16	2
592	133	m	70	10
592	203	app	706	100
5928	234	pc	84	12
5936	156	m	46	6
5942	8746	app	2	0
5958	8516	m	18	2
5959	609	app	77	11
606	8645	m	37	5
613	8645	app	6	0
613	8735	pc	125	17
615	14000	m	449	64
618	8523	pc	50	7
623	460	app	269	38
623	712	pc	4	0
629	356	app	39	5
629	37981	pc	3	0
637	14419	app	165	23
637	29389	m	81	11
637	771	app	6	0
645	196	app	112	16
645	23087	app	92	13
648	37863	app	5	0
648	8746	app	8	1
656	130	app	89	12
669	118	app	118	16
6718	15520	app	10	1
6718	34323	m	5	0
6729	199	pc	2	0
6745	14000	m	993	141
6745	8735	app	147	21
6752	14000	app	167	23
6770	111	app	92	13
6770	14363	m	2	0
6770	203	m	3717	531
6776	14419	pc	26	3
6788	310	pc	23	3
6788	35981	app	2	0
6803	8523	pc	19	2
6805	23065	app	59	8
686	14354	m	37	5
6921	311	pc	31	4
693	14354	app	190	27
6964	8752	m	9	1
697	171	app	2	0
699	199	m	6	0
699	36011	app	19	2
700	130	app	147	21
710	36008	app	71	10
7154	35136	pc	3	0
722	118	pc	65	9
722	8608	app	179	25
728	35721	app	4	0
728	798	pc	31	4
7289	35984	app	10	1
7303	118	pc	40	5
7303	8608	app	13	1
740	343	app	971	138
740	35691	pc	150	21
740	8761	app	31	4
7453	14326	pc	48	6
7468	145	m	1	0
7468	710	app	10	1
7468	97	app	280	40
7576	118	m	2	0
7576	26516	pc	6	0
7576	611	pc	53	7
7576	8444	app	18	2
7620	118	m	58	8
7620	26516	pc	16	2
7620	26518	m	1	0
7620	611	pc	137	19
7620	8444	app	354	50
771	125	m	679	97
771	8543	m	45	6
771	8659	pc	493	70
772	113	pc	4	0
772	14455	app	1146	163
772	34806	m	10	1
772	35984	pc	62	8
772	38116	app	2	0
783	26513	pc	3	0
79	37863	app	321	45
79	8746	app	42	6
791	37981	app	12	1
7921	8558	app	181	25
7951	15520	pc	7	1
801	26521	app	53	7
811	26513	m	125	17
811	8537	pc	232	33
811	8609	app	174	24
821	190	pc	81	11
837	102	app	1127	161
837	148	pc	65	9
837	36008	pc	123	17
8398	37863	app	2	0
845	38115	app	19	2
845	8558	app	541	77
8481	35691	app	25	3
8481	8558	m	6	0
858	343	app	57	8
858	35691	pc	26	3
858	8761	app	2	0
8582	190	pc	8	1
8582	36012	app	6	0
8601	23087	app	233	33
8601	350	app	20	2
8694	125	m	685	97
8694	26523	pc	17	2
8694	8543	m	28	4
8694	8659	pc	71	10
872	26516	m	20	2
8760	35828	m	7	1
8854	710	app	8	1
8854	97	app	235	33
891	311	m	19	2
914	15520	m	8	1
914	36011	pc	9	1
927	14455	m	239	34
927	26531	pc	7	1
927	8719	pc	27	3
9326	8692	pc	4	0
933	125	m	757	108
933	8543	m	10	1
933	8659	pc	78	11
9357	128	m	19	2
9357	14286	pc	20	2
9357	8546	m	2	0
9422	35136	app	9	1
944	26523	pc	54	7
9449	14419	pc	33	4
9472	8609	pc	14	2
952	26515	app	82	11
9529	8444	pc	3	0
9529	8516	app	179	25
9539	36011	m	5	0
9646	314	app	2	0
9656	96	app	411	58
967	234	pc	27	3
9687	34323	app	63	9
9687	609	m	237	33
9688	8855	m	1	0
9704	102	pc	2	0
9717	15520	m	6	0
9717	171	app	30	4
9717	36011	pc	10	1
9749	37981	m	5	0
9749	8523	m	122	17
979	611	m	7	1
979	8442	app	8	1
9799	14286	app	186	26
9811	23065	app	182	26
9837	26516	m	1	0
9837	611	m	4	0
9837	8442	app	10	1
984	35981	m	121	17
9871	8516	pc	14	2
9909	125	m	227	32
9909	26523	pc	2	0
9909	8659	pc	2	0
993	14001	m	20	2
9993	102	pc	16	2
1	133	pc	967	138
10015	128	m	7	1
10015	14286	pc	48	6
10015	8546	m	3	0
10039	14000	app	100	14
10106	23087	app	247	35
10106	350	app	47	6
10115	190	m	10	1
10115	23087	pc	10	1
10115	350	pc	59	8
10159	8608	pc	3	0
1016	152	m	8	1
1016	314	m	11	1
10171	26516	m	7	1
10171	611	m	10	1
10171	8442	app	140	20
10198	133	pc	7	1
10198	14455	pc	10	1
10229	14379	pc	3	0
10285	156	m	617	88
1029	35691	app	179	25
1029	8558	m	47	6
10291	36008	m	5	0
10291	8746	app	2	0
10304	152	app	4	0
10304	314	app	11	1
10362	35136	m	4	0
10362	798	app	4	0
10362	8855	pc	6	0
10387	14419	app	2	0
10387	360	m	13	1
10387	8445	m	23	3
10394	360	app	21	3
10394	8445	app	36	5
10394	8537	m	6	0
10434	23065	pc	45	6
10434	356	app	12	1
10434	35828	app	43	6
10454	130	m	9	1
10454	14001	m	39	5
10454	156	app	375	53
10461	130	app	8	1
10461	35981	pc	9	1
10467	118	m	12	1
10467	26516	pc	22	3
10467	26518	m	2	0
10467	611	pc	75	10
10467	8444	app	17	2
10485	8516	pc	11	1
10506	14326	pc	50	7
10513	8516	m	158	22
10524	35136	m	24	3
10524	8855	pc	1	0
10536	8645	app	20	2
10536	8735	pc	15	2
10539	125	pc	21	3
10539	460	m	67	9
10539	8543	pc	5	0
10552	111	app	13	1
10552	203	m	465	66
1057	15520	app	16	2
1057	34323	m	236	33
1078	145	m	48	6
1078	710	app	124	17
1078	97	app	1541	220
1086	34806	pc	26	3
1086	38118	app	2	0
1086	8645	m	2	0
1096	125	pc	121	17
1096	460	m	356	50
1096	8543	pc	17	2
11226	14326	app	22	3
122	234	m	4313	616
12291	15520	app	51	7
12291	34323	m	38	5
12804	14000	m	65	9
12804	8735	app	68	9
135	102	pc	202	28
135	26522	app	2	0
13950	14502	m	5	0
13951	14286	m	66	9
14357	8442	pc	16	2
14357	8444	m	15	2
147	343	app	280	40
147	35691	pc	169	24
147	8761	app	80	11
16	186	m	1	0
172	14326	pc	3830	547
172	798	m	252	36
1734	34806	app	15	2
1734	8735	m	11	1
18	37861	pc	656	93
18	37863	m	93	13
18	8746	m	49	7
188	14455	pc	1300	185
188	38116	pc	15	2
188	38118	m	5	0
2	125	m	21508	3072
2	8543	m	605	86
2	8659	pc	2773	396
2015	125	m	1179	168
2015	26523	pc	230	32
2015	8543	m	198	28
2015	8659	pc	609	87
2032	26515	pc	3	0
2037	356	m	4	0
2037	35828	m	14	2
2037	36014	app	36	5
2039	8752	pc	11	1
2041	14419	app	322	46
2041	29389	m	49	7
2041	360	m	31	4
2041	8445	m	156	22
2042	23087	m	81	11
2042	350	m	4	0
2044	23065	pc	15	2
2044	356	app	23	3
2044	35828	app	54	7
2045	37861	pc	9	1
2045	37863	m	9	1
2045	8692	pc	18	2
2046	310	m	184	26
2046	36014	pc	1	0
2049	234	pc	193	27
2050	14419	pc	13	1
2052	37863	app	62	8
2052	771	app	25	3
2053	196	m	75	10
2053	310	app	759	108
2053	356	pc	1	0
2053	35828	pc	59	8
2054	186	m	4	0
2192	190	pc	16	2
2192	36012	app	12	1
222	125	m	2528	361
222	8543	m	128	18
222	8659	pc	559	79
2248	8444	pc	4	0
2248	8516	app	100	14
228	190	pc	183	26
2292	199	pc	8	1
2296	14363	pc	1	0
2296	203	pc	58	8
2296	26513	app	33	4
2302	36011	m	4	0
2302	36488	app	2	0
2303	35136	app	256	36
2303	35721	pc	89	12
2307	8493	app	49	7
2315	14000	pc	39	5
2315	26531	m	3	0
2319	207	pc	44	6
2319	26517	app	6	0
2323	95	m	1054	150
2325	14379	app	70	10
2325	309	pc	75	10
2328	26517	pc	1	0
2328	29389	app	40	5
2328	360	app	339	48
2328	8445	app	173	24
2328	8537	m	51	7
2329	23087	app	109	15
2329	350	app	28	4
2337	29389	pc	13	1
2337	360	pc	117	16
2337	8445	pc	11	1
2337	8609	m	26	3
2342	8719	pc	42	6
2344	8537	pc	7	1
2344	8609	app	18	2
2347	36012	m	4	0
2350	8523	m	287	41
2354	190	pc	9	1
2354	36012	app	24	3
2363	36014	m	22	3
2363	8752	app	18	2
2372	8752	pc	12	1
2373	234	app	749	107
2378	8558	app	208	29
2389	14326	m	97	13
2390	156	m	898	128
2392	14502	m	462	66
2393	14286	m	3	0
2394	26516	m	955	136
2394	611	m	10	1
2394	8442	app	116	16
2404	130	pc	6	0
2404	14001	pc	9	1
2408	118	app	4	0
2408	22431	pc	30	4
2408	35691	m	1	0
241	26515	app	354	50
2422	8558	app	372	53
2429	171	m	18	2
2501	26523	app	16	2
2501	8659	app	18	2
2501	95	pc	20	2
2501	97	m	22	3
291	118	app	76	10
293	14502	pc	6	0
293	22431	app	144	20
293	8444	pc	5	0
293	8516	app	80	11
296	609	pc	121	17
297	798	app	83	11
297	8855	pc	18	2
3	113	pc	184	26
3	14455	app	9987	1426
3	34806	m	187	26
3	35984	pc	259	37
3	38116	app	45	6
3177	95	app	2136	305
319	171	pc	238	34
319	199	app	510	72
3198	35694	m	40	5
3209	14539	pc	1	0
3209	460	app	16	2
3209	712	pc	4	0
3266	96	app	852	121
330	22431	m	266	38
330	26516	app	1291	184
330	8516	m	651	93
3328	37866	app	2	0
3350	34323	pc	33	4
3359	8523	m	117	16
342	311	m	463	66
3445	14502	m	100	14
3453	14286	app	120	17
3470	118	app	52	7
3470	22431	pc	25	3
3470	26518	app	8	1
3470	35691	m	37	5
3479	14000	m	1149	164
3479	8735	app	132	18
3489	145	pc	8	1
3489	14539	app	11	1
3489	309	m	18	2
355	14000	m	888	126
355	207	app	187	26
355	8717	m	4	0
362	111	m	1030	147
362	14000	app	1283	183
362	8645	pc	40	5
362	8717	app	26	3
369	356	app	4	0
37	14001	m	295	42
375	26517	app	8	1
385	196	app	181	25
385	23087	app	312	44
394	196	pc	82	11
394	23087	pc	14	2
397	168	m	78	11
397	212	m	28	4
397	8746	pc	1	0
399	23442	app	2	0
4	26523	app	1969	281
4	8523	m	5997	856
400	125	pc	31	4
400	460	m	38	5
403	26515	app	46	6
408	23065	m	6	0
408	8752	pc	1	0
409	234	app	21	3
413	356	app	348	49
414	14255	pc	362	51
414	14419	m	410	58
414	24056	pc	42	6
414	35694	pc	525	75
414	771	m	9	1
414	8692	pc	47	6
424	23065	pc	39	5
424	35828	app	616	88
450	148	app	101	14
450	36008	app	244	34
450	8658	m	17	2
455	14502	pc	25	3
455	22431	app	58	8
455	8444	pc	22	3
455	8516	app	431	61
468	798	pc	6	0
471	35691	app	347	49
471	8608	pc	65	9
483	199	m	196	28
483	36011	app	497	71
497	26521	app	4	0
5	14363	pc	117	16
5	26513	app	1406	200
500	14286	pc	4	0
502	609	pc	65	9
505	37862	app	40	5
518	125	pc	177	25
518	460	m	1720	245
518	8543	pc	77	11
520	36011	m	1	0
523	309	app	125	17
523	8493	pc	86	12
531	111	app	134	19
531	203	m	1723	246
5333	460	pc	20	2
5334	29389	app	42	6
5334	360	app	149	21
5334	8445	app	115	16
5334	8537	m	1	0
536	350	app	6	0
537	26517	app	2	0
541	26521	app	49	7
556	196	pc	128	18
556	23087	pc	84	12
5632	145	m	3	0
5632	710	app	52	7
5632	97	app	504	72
5633	14455	pc	9	1
5653	14419	m	29	4
5653	24056	pc	24	3
5653	35694	pc	19	2
5669	34807	m	2	0
5695	128	m	32	4
5695	14286	pc	30	4
5695	8546	m	3	0
5709	102	pc	61	8
572	152	app	10	1
572	314	app	47	6
572	36012	app	46	6
5722	14502	m	39	5
5722	38117	pc	3	0
5733	8442	pc	7	1
5733	8444	m	160	22
5756	14000	m	781	111
5756	8735	app	40	5
577	102	app	46	6
5772	14000	pc	26	3
5772	26531	m	9	1
5845	130	m	15	2
5845	14001	m	1	0
5845	156	app	1301	185
5853	168	m	523	74
5853	212	m	306	43
5853	26520	app	9	1
5853	8746	pc	23	3
5898	26521	app	5	0
5898	95	m	1553	221
5928	145	pc	15	2
5928	14539	app	3	0
5928	309	m	2	0
5936	111	m	3	0
5936	8645	pc	24	3
5942	26521	app	4	0
5942	95	m	556	79
5959	196	app	22	3
606	14001	m	40	5
613	14001	app	100	14
613	35981	pc	25	3
618	14286	pc	8	1
623	128	pc	17	2
623	26520	pc	31	4
623	8546	pc	20	2
629	311	app	97	13
645	199	m	12	1
645	36011	app	91	13
648	95	m	172	24
652	171	pc	21	3
652	199	app	64	9
656	203	app	63	9
669	26513	m	136	19
669	8537	pc	35	5
669	8609	app	53	7
6700	8645	app	10	1
6700	8735	pc	20	2
6718	310	m	104	14
6718	36014	pc	2	0
6729	156	m	1122	160
6745	156	pc	116	16
6752	130	pc	17	2
6752	14001	pc	18	2
6760	168	pc	242	34
6760	212	pc	41	5
6760	8658	app	7	1
6760	96	m	1780	254
6770	8558	app	42	6
6788	26531	app	28	4
6788	35984	m	2	0
679	190	pc	78	11
6793	171	pc	11	1
6793	199	app	14	2
6805	609	pc	26	3
693	37981	app	15	2
6964	199	pc	7	1
698	234	app	65	9
699	152	pc	2	0
700	133	m	85	12
700	203	app	825	117
7133	190	app	368	52
7154	234	m	113	16
722	8609	pc	42	6
728	168	app	1288	184
728	212	app	224	32
728	37865	app	2	0
7289	38117	app	16	2
7303	8609	pc	23	3
7453	37863	app	37	5
7453	771	app	2	0
7468	14286	app	426	60
751	234	pc	95	13
7576	360	pc	14	2
7576	8609	m	8	1
7620	29389	pc	3	0
7620	360	pc	215	30
7620	8445	pc	22	3
7620	8609	m	21	3
772	14502	m	84	12
772	8442	pc	33	4
772	8444	m	101	14
776	14326	app	65	9
783	8855	app	4	0
79	35136	pc	577	82
79	37864	pc	3	0
79	37866	m	157	22
79	95	m	19592	2798
791	609	pc	171	24
7921	24056	app	17	2
7921	35694	app	56	8
7951	35981	m	10	1
801	14354	app	734	104
834	133	pc	4	0
836	14455	app	41	5
837	26523	app	1457	208
837	8523	m	5380	768
8398	35136	pc	11	1
845	14455	pc	707	101
845	38116	pc	6	0
845	38118	m	5	0
8481	35694	m	8	1
8582	15520	pc	1	0
8601	36011	app	51	7
872	14419	app	72	10
872	29389	m	23	3
8760	311	m	18	2
882	310	pc	374	53
8854	14286	app	312	44
891	130	app	92	13
901	41588	app	1	0
910	23065	app	259	37
910	310	m	286	40
910	41588	pc	31	4
9146	8855	app	6	0
927	14526	pc	6	0
9326	798	pc	13	1
9363	8719	pc	17	2
9389	168	pc	45	6
9389	212	pc	37	5
9389	96	m	1271	181
9409	130	m	529	75
9409	14001	m	59	8
9409	156	app	534	76
944	609	app	806	115
9444	102	pc	10	1
9449	343	m	5	0
9481	798	m	5	0
952	26516	pc	82	11
952	26518	m	31	4
9530	133	pc	2	0
9530	14455	pc	24	3
9551	23065	app	95	13
9656	125	app	360	51
9656	710	pc	2	0
9656	8543	app	43	6
9656	97	pc	4	0
968	14000	m	1149	164
968	207	app	129	18
968	8717	m	20	2
9687	196	m	12	1
9687	310	app	206	29
9687	35828	pc	7	1
977	207	pc	32	4
979	360	m	9	1
979	8445	m	3	0
9799	460	pc	48	6
9811	36488	m	1	0
9811	609	pc	62	8
9832	26521	m	1	0
9832	8493	pc	9	1
9837	14419	app	17	2
9837	360	m	10	1
9837	8445	m	2	0
984	14000	pc	261	37
984	26531	m	208	29
984	8717	pc	35	5
984	8719	m	74	10
