sloc1	scate2	platform	clks	clks_one_day
414	26521	app	62	8
424	26513	m	69	9
424	8537	pc	77	11
424	8609	app	110	15
450	356	m	23	3
450	41588	app	32	4
455	96	app	189	27
468	14354	app	8	1
483	14502	m	128	18
483	38117	pc	1	0
483	8442	pc	309	44
483	8444	m	405	57
497	34323	app	105	15
5	35136	m	679	97
5	37862	pc	14	2
5	8493	app	475	67
502	8558	app	8	1
505	14354	m	71	10
518	199	m	18	2
518	36011	app	605	86
531	14326	app	756	108
531	8855	m	4	0
5333	199	pc	2	0
536	133	app	6	0
537	710	m	2	0
537	8659	app	21	3
537	95	pc	28	4
537	97	m	5	0
541	34323	app	1045	149
556	14455	pc	258	36
556	38116	pc	4	0
5632	36011	m	45	6
5632	36488	app	12	1
5633	35136	app	14	2
5633	35721	pc	49	7
5653	26521	app	6	0
5653	95	m	976	139
5695	152	app	6	0
5695	314	app	40	5
5709	35981	m	29	4
572	360	m	648	92
572	8445	m	94	13
5733	168	app	454	64
5733	212	app	133	19
5733	36008	pc	4	0
5756	8608	pc	26	3
577	23065	app	2	0
577	310	m	8	1
5845	8609	pc	49	7
5853	23065	m	926	132
5898	34323	app	162	23
5898	609	m	331	47
592	14419	pc	28	4
592	186	app	2	0
592	771	pc	27	3
5928	15520	m	3	0
5928	171	app	14	2
5928	36011	pc	23	3
5942	34323	app	43	6
5942	609	m	215	30
5958	125	m	30	4
5958	26523	pc	11	1
5958	8543	m	4	0
5958	8659	pc	15	2
615	234	app	10	1
623	35828	m	31	4
623	36014	app	12	1
629	14526	app	103	14
629	38117	m	5	0
629	8442	m	89	12
629	8558	pc	271	38
645	14502	m	72	10
645	8442	pc	24	3
645	8444	m	2	0
648	609	m	142	20
652	118	m	92	13
652	14502	app	106	15
652	34807	pc	34	4
652	611	pc	246	35
652	8444	app	180	25
669	145	app	93	13
669	8493	m	202	28
6700	343	app	48	6
6700	8761	app	30	4
6718	8537	app	345	49
6760	23065	pc	131	18
6760	356	app	44	6
6760	35828	app	111	15
6776	14286	m	20	2
6788	14326	pc	15	2
679	14000	m	870	124
679	207	app	111	15
6793	118	m	11	1
6793	26516	pc	4	0
6793	26518	m	2	0
6793	611	pc	47	6
6793	8444	app	28	4
6803	14526	app	10	1
6805	8558	app	17	2
686	111	m	322	46
686	14000	app	339	48
686	8645	pc	12	1
686	8717	app	40	5
693	111	app	75	10
693	203	m	625	89
696	460	pc	8	1
6964	8444	pc	3	0
6964	8516	app	962	137
6964	8608	m	28	4
697	360	app	12	1
697	8445	app	8	1
698	14379	m	9	1
699	26517	app	6	0
700	8855	app	14	2
710	311	m	38	5
7133	34806	pc	39	5
7133	38118	app	48	6
7133	8645	m	2	0
7154	23087	m	156	22
7154	350	m	32	4
722	145	pc	60	8
722	309	m	26	3
722	712	app	7	1
726	8523	pc	23	3
728	37981	app	82	11
7303	145	pc	28	4
7303	309	m	10	1
740	460	pc	119	17
7452	113	app	4	0
7452	14363	pc	15	2
7452	203	pc	29	4
751	190	m	80	11
751	350	pc	55	7
7576	145	m	4	0
7576	710	app	17	2
7576	97	app	75	10
7620	145	m	32	4
7620	710	app	90	12
7620	97	app	638	91
771	152	m	20	2
771	314	m	19	2
771	36012	m	7	1
772	168	app	1805	257
772	212	app	342	48
772	37865	app	2	0
776	102	m	13	1
783	102	app	437	62
783	148	pc	17	2
783	36008	pc	14	2
79	609	m	20461	2923
791	8558	app	144	20
7951	8537	pc	28	4
801	130	m	56	8
801	156	app	7750	1107
801	35828	pc	8	1
811	148	m	17	2
811	23442	app	4	0
811	36008	m	19	2
821	118	app	24	3
836	798	pc	1	0
837	36488	m	189	27
845	35136	app	871	124
845	35721	pc	83	11
845	37864	app	12	1
8481	8493	app	12	1
858	460	pc	33	4
8582	118	app	23	3
8582	22431	pc	52	7
8582	26518	app	11	1
8582	35691	m	47	6
8694	152	m	23	3
8694	314	m	22	3
882	14363	pc	18	2
882	26513	app	73	10
