sloc1	scate2	ps1	ps1a	as1	clk01	cost1	cash1	dispuser1	dispsub1	realcostuser1	realcostsub1
469	24056	5	0	0	0	0.0	0.0	0	0	0	0
469	35694	12	0	0	0	0.0	0.0	0	0	0	0
469	8692	4	0	0	0	0.0	0.0	0	0	0	0
471	460	655	580	3771	8	28.69	16.59	7	7	3	3
483	26517	40	0	0	0	0.0	0.0	0	0	0	0
497	156	792	0	0	0	0.0	0.0	0	0	0	0
5	148	314	236	1227	36	36.21	34.66	6	6	6	6
5	36008	278	147	308	4	6.95	5.17	2	2	2	2
500	34806	2	0	0	0	0.0	0.0	0	0	0	0
523	23065	149	122	190	4	30.76	20.16	1	2	1	1
541	156	2951	1708	1938	15	36.41	29.88	1	1	0	0
556	26516	70	0	0	0	0.0	0.0	0	0	0	0
572	26518	18	0	0	0	0.0	0.0	0	0	0	0
5733	8659	217	0	0	0	0.0	0.0	0	0	0	0
5845	14326	152	0	0	0	0.0	0.0	0	0	0	0
5898	310	191	0	0	0	0.0	0.0	0	0	0	0
5936	37861	0	0	0	0	0.0	0.0	0	0	0	0
5942	310	118	0	0	0	0.0	0.0	0	0	0	0
613	37862	2	0	0	0	0.0	0.0	0	0	0	0
615	145	6	0	0	0	0.0	0.0	0	0	0	0
618	34806	1	0	0	0	0.0	0.0	0	0	0	0
623	8645	45	0	0	0	0.0	0.0	0	0	0	0
629	26515	34	0	0	0	0.0	0.0	0	0	0	0
645	26517	11	0	0	0	0.0	0.0	0	0	0	0
648	310	37	0	0	0	0.0	0.0	0	0	0	0
656	186	5	0	0	0	0.0	0.0	0	0	0	0
669	23442	17	0	0	0	0.0	0.0	0	0	0	0
6752	798	43	0	0	0	0.0	0.0	0	0	0	0
6760	311	103	0	0	0	0.0	0.0	0	0	0	0
6770	35136	90	0	0	0	0.0	0.0	0	0	0	0
6770	37864	1	0	0	0	0.0	0.0	0	0	0	0
6776	14539	9	0	0	0	0.0	0.0	0	0	0	0
6788	14419	24	0	0	0	0.0	0.0	0	0	0	0
6788	771	3	0	0	0	0.0	0.0	0	0	0	0
679	118	75	0	0	0	0.0	0.0	0	0	0	0
6803	34806	8	0	0	0	0.0	0.0	0	0	0	0
693	38115	1	0	0	0	0.0	0.0	0	0	0	0
693	8558	62	35	65	3	0.0	0.0	2	2	0	0
697	35691	1	0	0	0	0.0	0.0	0	0	0	0
700	186	34	0	0	0	0.0	0.0	0	0	0	0
710	130	186	0	0	0	0.0	0.0	0	0	0	0
