sloc1	scate2	platform	clks_one_day
891	102	app	3
914	111	pc	2
9146	14000	app	1
93	34806	app	1
9326	234	pc	0
9326	35694	m	0
9409	14455	pc	0
9409	8546	app	0
9472	8719	m	0
952	36488	app	0
967	360	app	1
968	8558	pc	0
9687	199	pc	0
9704	168	m	9
9704	212	m	2
9749	190	pc	0
984	190	app	12
984	23065	m	8
9993	168	m	4
1	14363	pc	0
1	199	m	14
10088	8537	m	0
10097	212	pc	0
10115	460	m	1
1016	8523	app	12
102	186	pc	3
1029	130	m	0
1029	8516	pc	2
10417	14000	app	4
10434	8523	m	2
10461	14502	pc	0
1067	95	pc	2
1078	8516	app	23
135	168	m	24
135	212	m	12
13951	234	m	0
158	34807	app	1
158	35691	m	13
158	611	app	39
16	26531	app	1
18	14255	m	0
18	24056	m	0
18	35694	m	30
18	8537	app	5
18	8692	m	0
188	133	m	13
188	311	app	28
2015	35721	app	0
202	34807	app	1
202	35691	m	6
202	611	app	6
2037	309	app	0
2041	8692	pc	0
2044	8523	m	21
2045	111	app	5
2045	234	pc	3
2045	35694	m	2
2047	96	pc	9
2049	360	app	3
2052	203	app	19
2247	609	pc	11
228	145	app	1
2292	203	pc	0
2296	609	app	1
2302	96	app	31
2323	460	pc	1
2350	190	pc	1
2350	95	m	6
2360	14000	app	4
2364	168	pc	0
2364	212	pc	0
2372	460	app	7
2380	96	pc	16
2395	96	m	6
2398	156	app	18
2408	156	m	1
241	36488	app	1
2429	14000	pc	3
291	156	m	32
293	8855	pc	0
304	14419	app	2
3198	203	m	4
3251	14000	app	11
330	14326	pc	2
342	102	app	56
3470	156	m	19
367	125	m	0
369	8523	m	2
37	35828	m	9
385	35828	pc	0
394	156	pc	17
4	190	pc	70
4	798	app	4
4	95	m	507
403	36488	app	0
407	14000	app	0
408	460	app	0
413	8523	m	144
414	111	app	82
414	234	pc	26
428	14526	pc	0
463	234	app	20
468	8558	app	0
497	14326	app	0
5	203	m	225
505	97	pc	0
541	14326	app	27
541	350	pc	0
541	35136	m	0
556	156	pc	10
5632	8516	app	6
5709	212	m	2
572	190	m	1
5853	14286	pc	2
5853	37863	m	0
5898	14326	app	0
5898	460	pc	3
592	314	m	0
5928	8523	pc	1
5942	460	pc	0
606	35828	m	3
613	14502	pc	6
615	156	m	4
629	14286	m	1
629	8523	NULL	0
629	8735	pc	1
637	22431	m	2
637	8493	pc	0
637	8516	m	16
669	111	m	21
6745	310	m	0
6745	611	pc	0
6760	128	pc	0
6760	8546	pc	0
6793	26531	pc	0
6803	14286	m	0
696	14000	app	0
6964	203	pc	4
697	460	app	0
7133	14379	m	0
7133	196	pc	0
722	26531	m	0
722	8735	app	1
7303	8735	app	0
740	14000	app	21
740	8717	app	0
7453	203	app	29
751	360	app	1
776	14526	m	0
79	460	pc	30
791	34323	pc	0
7921	14455	m	0
7921	311	app	0
811	156	app	72
811	8558	m	8
831	8659	pc	0
837	190	pc	20
837	95	m	196
8398	8493	pc	0
845	133	m	8
845	311	app	3
8481	203	m	9
858	14000	app	19
8601	311	pc	0
872	203	app	13
8973	360	m	0
914	8558	pc	1
93	14502	app	4
93	8444	app	0
9389	128	pc	0
9389	8546	pc	1
944	168	app	29
944	212	app	1
9444	168	m	0
9444	212	m	0
946	15520	pc	0
9481	14326	m	1
9499	14000	app	0
9517	23087	pc	0
952	611	m	2
967	8523	pc	0
9704	26523	m	0
9706	8493	app	0
9709	168	pc	0
9709	212	pc	0
9717	460	app	5
9749	15520	pc	0
9799	8493	m	0
9854	460	m	0
9993	26523	m	0
1	36014	m	0
10039	22431	pc	0
1005	14286	app	0
10171	8692	pc	0
10198	14326	pc	0
10266	35691	app	0
1029	203	m	21
1039	8493	app	0
10506	203	app	9
10513	14455	app	0
1057	14379	app	1
1067	8537	app	0
122	22431	app	48
122	8516	app	152
12804	611	pc	0
135	168	NULL	0
135	35721	app	0
135	8659	m	0
13950	8735	m	0
147	14000	app	64
158	360	app	92
158	8445	app	42
16	14526	app	2
1734	190	app	0
18	35694	NULL	0
188	14326	pc	28
202	360	app	37
202	8445	app	24
2032	14502	m	0
2038	35691	app	0
2042	96	app	18
2044	8735	pc	0
2045	8558	app	1
2046	609	m	0
2047	125	pc	3
2047	8543	pc	0
2049	8523	pc	4
2052	8493	pc	1
2052	8516	m	26
2054	35721	m	0
2247	14379	m	0
2284	360	app	0
2302	125	app	5
2302	130	pc	0
2302	8543	app	0
2325	168	m	19
2325	212	m	5
2329	311	pc	0
2337	35691	m	0
2342	14526	m	0
2344	156	app	0
2344	8558	m	0
2346	14502	app	0
2363	128	app	0
2363	14455	pc	5
2363	8546	app	0
2371	35691	app	0
2371	97	pc	0
2372	34323	m	0
2378	14455	m	9
2378	311	app	0
2380	125	pc	3
2380	8543	pc	0
2395	125	m	1
2397	8523	m	3
2398	234	pc	0
2398	35694	m	0
2404	609	app	0
2408	111	m	0
241	34807	m	0
241	611	m	54
2422	14455	m	3
2422	311	app	12
2429	190	m	0
291	111	m	4
296	156	pc	5
297	14455	app	5
304	710	m	7
304	97	m	6
3157	207	app	0
3157	212	pc	0
342	26523	app	25
3453	8493	m	0
3470	111	m	3
3479	611	pc	1
355	156	m	32
355	26516	pc	0
362	130	m	5
362	22431	pc	1
362	8516	pc	10
367	96	app	5
394	111	pc	8
400	609	pc	1
403	611	m	0
413	14286	m	7
413	8735	pc	7
414	26516	m	1
414	8558	app	34
424	207	pc	1
450	14379	pc	0
463	145	app	0
483	14539	app	0
5	130	app	1
502	156	pc	1
505	14419	m	0
518	609	pc	13
523	35694	app	12
523	8692	app	0
531	8608	pc	0
556	111	pc	24
5653	26516	m	0
5669	35694	pc	0
5722	8735	m	0
5756	310	m	1
5756	611	pc	0
577	190	pc	0
577	95	m	1
629	8523	app	20
669	156	app	47
669	8558	m	2
6752	8537	pc	0
6770	14455	m	2
6776	168	pc	2
6776	212	pc	0
686	15520	pc	0
710	96	m	36
7154	8516	app	1
722	14526	m	2
740	710	pc	2
740	97	pc	0
7452	14000	pc	0
7453	8493	pc	0
7453	8516	m	6
751	35691	app	0
751	8523	pc	2
7620	35691	m	0
772	207	m	1
791	156	pc	5
7951	207	pc	0
801	35136	app	0
811	111	app	41
811	234	pc	3
845	14326	pc	22
858	97	pc	0
8694	35828	pc	0
872	8493	pc	0
872	8516	m	1
8760	14502	pc	0
882	14000	pc	5
8854	8493	m	0
910	609	m	16
9326	35694	app	0
9449	168	pc	0
9449	207	app	0
9449	212	pc	1
9472	8719	app	0
952	360	m	7
9530	14326	pc	0
961	34806	app	0
968	156	m	18
9704	168	app	10
9704	212	app	1
9811	156	pc	0
9811	23087	m	0
984	23065	app	14
9993	168	app	13
1	199	app	22
1	8645	m	0
1005	14526	pc	0
10088	8537	app	0
10115	460	app	1
10120	8523	m	6
10159	14326	m	0
10171	22431	m	1
10198	199	app	0
102	96	pc	271
10266	14286	pc	0
10285	8516	pc	2
1029	130	app	1
10434	8523	app	23
10492	14326	m	0
10506	8516	m	2
10539	14379	m	0
10552	14455	m	0
1057	38118	pc	0
1057	609	m	14
1078	8493	m	1
1096	196	pc	0
12291	609	m	8
12804	360	pc	0
135	168	app	62
135	212	app	11
147	710	pc	6
147	97	pc	2
158	35691	app	18
158	8523	pc	83
16	128	pc	1
16	8546	pc	1
172	460	pc	32
1734	14000	m	30
18	14255	app	0
18	24056	app	0
18	35694	app	22
18	8692	app	2
188	133	app	17
2	356	pc	0
2015	35828	pc	0
202	35691	app	10
202	8523	pc	25
2032	186	pc	0
2038	14286	pc	0
2039	611	pc	0
2044	8523	app	14
2045	35694	app	5
2050	212	pc	0
2054	128	pc	1
2054	8546	pc	0
2284	8523	pc	0
2299	8523	m	1
2302	203	pc	2
2325	26523	m	0
2346	96	pc	8
2347	14526	pc	0
2350	95	app	13
2371	14286	pc	0
2372	611	pc	0
2390	130	m	0
2395	96	app	6
2408	156	app	1
241	360	m	49
241	8445	m	4
276	128	m	1
276	8546	m	0
291	156	app	25
291	8558	m	4
296	111	pc	1
3	207	m	52
319	34806	pc	2
3198	203	app	1
3237	96	pc	5
3470	156	app	18
3479	360	pc	0
355	111	m	6
357	186	pc	0
362	203	m	46
367	130	pc	0
367	8543	app	0
369	8523	app	1
37	35828	app	18
375	168	pc	13
375	212	pc	2
394	8558	pc	3
394	8752	m	0
4	23065	pc	80
4	95	app	441
403	360	m	1
403	37863	pc	2
408	310	m	0
408	611	pc	2
413	8523	app	66
414	29389	m	2
424	118	pc	0
450	96	m	104
483	14455	pc	14
5	203	app	157
5	37861	pc	1
5	38118	m	0
518	196	pc	1
523	190	pc	0
523	95	m	16
531	311	app	0
5333	8493	app	0
537	168	pc	0
537	212	pc	0
541	35136	app	0
541	8752	pc	0
556	38115	pc	0
556	8558	pc	0
5632	8493	m	0
5653	360	m	0
5669	156	m	11
5709	212	app	2
572	190	app	3
5756	360	pc	0
5853	37863	app	0
606	35828	app	7
615	156	app	0
623	199	pc	0
629	14286	app	0
637	22431	app	2
637	8516	app	30
645	14455	pc	1
669	111	app	12
669	234	pc	6
6729	130	m	0
6745	310	app	0
6921	14326	pc	0
693	156	pc	8
697	310	m	0
710	125	m	20
710	8543	m	0
7133	14379	app	0
722	26531	app	0
7289	156	m	5
740	14419	m	4
751	14286	pc	0
771	128	m	2
771	311	pc	6
771	8546	m	3
772	118	m	0
772	35721	pc	0
783	309	pc	0
7921	14455	app	1
811	145	pc	0
811	26516	m	0
811	8558	app	23
837	23065	pc	10
837	95	app	188
845	133	app	6
8481	203	app	14
858	14419	m	0
8694	128	m	0
8694	311	pc	0
8973	360	app	0
910	196	m	0
910	23087	m	4
914	156	m	51
933	8546	m	0
9444	168	app	2
9444	212	app	0
9449	26523	pc	0
946	14000	pc	0
9481	14326	app	1
9481	460	pc	0
952	35691	m	3
952	611	app	2
9529	96	pc	0
968	111	m	0
9704	26523	app	0
9749	14000	pc	0
977	8735	app	0
979	8537	m	0
9799	8493	app	0
9832	190	pc	0
984	35984	m	0
9854	460	app	0
993	14455	m	8
1	14001	m	4
1	36014	app	0
10106	14455	pc	0
1016	8735	m	0
102	125	pc	91
102	8543	pc	21
10285	203	m	14
1029	14363	app	0
1029	203	app	26
10304	14000	m	5
10485	8537	app	0
1057	196	m	0
1057	22431	pc	0
122	8493	m	10
12291	196	m	1
13950	8735	app	0
13951	145	app	0
14357	168	pc	1
14357	212	pc	0
147	14419	m	7
158	14286	pc	14
158	37863	m	0
18	190	pc	26
18	95	m	312
188	35136	pc	12
188	8608	m	5
2	128	m	35
2	311	pc	60
2	8546	m	1
2015	128	m	7
2015	311	pc	12
2015	8546	m	0
202	14286	pc	13
2032	14502	app	0
2039	360	pc	1
2041	95	pc	1
2042	203	pc	0
2052	8516	app	41
2054	35721	app	0
2192	207	pc	0
222	128	m	12
222	311	pc	9
222	8546	m	1
2247	14379	app	0
2248	96	pc	4
228	207	pc	0
2307	96	m	15
2325	168	app	14
2325	212	app	1
2329	128	app	0
2329	14455	pc	0
2337	35691	app	0
2337	710	pc	0
2342	14526	app	0
2346	125	pc	1
2350	14000	pc	1
2363	311	m	0
2372	360	pc	0
2373	23087	pc	0
2378	14455	app	8
2390	203	m	0
2395	125	app	1
2395	8543	app	0
2397	8523	app	7
2398	35694	app	0
2404	8692	pc	0
2408	111	app	0
2408	234	pc	0
241	34807	app	0
241	35691	m	4
241	611	app	12
2422	14455	app	3
2429	190	app	0
291	111	app	4
291	234	pc	1
293	96	pc	3
296	8558	pc	0
3	118	m	14
3	35721	pc	14
304	710	app	7
304	97	app	4
3177	609	pc	6
319	14502	pc	24
3198	8493	pc	0
3237	125	pc	5
3251	309	pc	0
3359	14000	pc	1
342	152	m	0
342	314	m	1
3453	8493	app	0
3470	111	app	3
3470	234	pc	0
3470	35694	m	3
355	156	app	28
355	8558	m	0
362	130	app	4
367	203	pc	0
37	14455	m	345
385	14455	pc	3
403	35691	m	0
403	611	app	2
408	360	pc	0
413	14286	app	4
413	26531	pc	8
414	26516	app	3
414	26521	pc	0
450	125	m	26
450	8543	m	1
455	96	pc	2
483	35828	m	4
5	22431	m	19
5	8493	pc	18
5	8516	m	261
502	8558	pc	0
505	14419	app	0
531	14326	pc	3
541	34323	pc	1
5669	111	m	0
5733	168	pc	1
5756	310	app	1
577	95	app	1
5845	14455	m	1
5853	97	m	0
606	14455	m	44
629	14526	pc	0
652	14502	pc	0
652	8444	pc	0
669	8558	app	7
6700	14526	m	0
6729	203	m	1
6770	14455	app	0
679	207	pc	0
6805	23087	app	0
6805	8558	pc	0
686	14000	pc	2
693	111	pc	1
6964	130	m	0
6964	8516	pc	1
710	96	app	25
7133	609	m	19
7154	8493	m	0
722	14526	app	3
7453	8516	app	12
7468	8493	app	0
7620	35691	app	0
772	168	pc	24
772	207	app	0
772	212	pc	4
776	8546	pc	0
791	8558	pc	1
801	156	pc	9
831	168	m	4
831	212	m	3
8481	8493	pc	0
8481	8516	m	3
872	8516	app	2
910	609	app	20
910	8537	pc	0
914	111	m	11
9326	234	m	0
9409	14455	m	1
952	360	app	11
9551	111	pc	0
968	156	app	14
968	8558	m	0
9717	360	pc	0
9749	190	m	0
979	95	pc	0
9811	23087	app	0
9837	22431	app	0
9837	95	pc	0
1	14363	m	0
1	8645	app	1
10097	212	m	0
10120	8523	app	17
10159	14326	app	0
10171	22431	app	1
10171	95	pc	0
102	186	m	5
10229	156	pc	0
10260	96	pc	1
1029	8493	pc	0
1029	8516	m	14
10492	14326	app	0
10506	8516	app	10
1057	609	app	21
1057	8537	pc	0
1067	95	m	8
1078	8493	app	2
12291	609	app	20
12291	8537	pc	0
14357	8659	pc	0
1734	14000	app	9
188	8658	pc	0
2015	712	app	0
2032	96	pc	6
2041	8537	app	0
2045	234	m	3
2047	96	m	20
2053	14326	pc	7
2247	609	m	10
2248	125	pc	0
2248	8543	pc	0
2292	203	m	0
2299	8523	app	1
2307	125	m	0
2315	207	m	0
2323	460	m	5
2325	26523	app	0
2337	14286	pc	0
2350	190	m	1
2363	8608	pc	0
2364	168	m	0
2364	212	m	1
2380	96	m	59
2389	14379	pc	0
2395	203	pc	0
241	360	app	20
241	8445	app	6
2429	14000	m	8
265	199	pc	8
276	128	app	0
276	8546	app	0
291	26516	m	0
291	8558	app	4
293	125	pc	0
3	168	pc	146
3	207	app	29
3	212	pc	39
3177	14379	m	0
330	14326	m	6
330	8608	app	0
355	111	app	2
355	234	pc	2
357	96	pc	3
362	203	app	43
394	156	m	47
394	8752	app	0
4	190	m	63
403	360	app	0
413	14526	pc	10
414	234	m	272
414	29389	app	2
428	14526	m	0
450	96	app	87
471	460	pc	7
497	156	pc	8
5	36008	pc	2
5	38118	app	0
505	97	m	0
523	23065	pc	5
523	95	app	27
541	156	pc	48
556	156	m	34
5632	8493	app	0
5653	360	app	0
5669	156	app	5
5695	34806	pc	0
5853	14286	m	3
5898	310	pc	0
5898	460	m	9
5928	8523	m	2
5942	460	m	3
613	14502	m	2
629	8735	m	0
637	8493	m	1
669	29389	m	0
6729	130	app	0
6745	611	m	0
6760	8546	m	0
693	8558	pc	1
6964	203	m	22
697	310	app	0
700	186	pc	0
710	125	app	5
710	130	pc	1
7133	196	m	0
722	128	pc	0
722	8546	pc	1
725	22431	pc	0
7289	156	app	3
7303	128	pc	0
7303	8546	pc	0
740	14419	app	3
7620	14286	pc	0
771	128	app	3
771	133	pc	1
771	8546	app	1
783	26523	pc	0
79	310	pc	24
79	460	m	449
791	34323	m	0
801	111	pc	2
811	26516	app	0
811	26521	pc	0
831	8659	m	0
836	168	pc	0
837	190	m	15
858	14419	app	0
8694	14455	pc	1
8716	309	pc	0
910	196	app	0
910	23087	app	3
914	156	app	30
914	8558	m	2
927	14502	app	0
9326	23065	pc	0
933	128	app	0
9389	8546	m	0
944	14455	pc	0
9517	156	pc	0
9517	23087	m	0
952	35691	app	2
952	8523	pc	14
9656	309	app	0
967	8523	m	0
968	111	app	0
968	234	pc	0
9709	168	m	2
9709	212	m	0
979	8537	app	0
984	35984	app	1
9854	611	pc	0
993	14455	app	2
1	14001	app	16
10039	22431	m	0
1016	8735	app	0
10171	8537	app	0
10198	14326	m	3
102	14379	pc	12
10260	125	pc	1
10285	203	app	20
10291	310	pc	0
10304	14000	app	1
10394	14326	app	0
10394	460	pc	1
1057	196	app	0
1067	15520	pc	0
122	8493	app	7
12291	196	app	1
147	14419	app	11
158	171	pc	6
158	37863	app	0
18	23065	pc	17
18	95	app	267
188	14326	m	72
188	8608	app	12
2	128	app	9
2	133	pc	17
2	8546	app	1
2015	128	app	3
2015	133	pc	4
2015	14455	pc	17
202	171	pc	3
2032	125	pc	2
2040	207	pc	0
2044	8735	m	0
2047	125	m	5
2047	8543	m	0
2049	8523	m	10
2052	8493	m	1
222	128	app	7
222	133	pc	1
222	8546	app	1
2292	130	app	0
2299	171	m	0
2302	130	m	0
2307	96	app	8
2328	460	pc	0
2363	14455	m	7
2363	311	app	0
2380	125	m	29
2380	8543	m	0
2390	203	app	0
2398	234	m	1
241	35691	app	10
241	8523	pc	38
296	156	m	17
297	609	pc	5
3	118	app	9
3	8659	pc	37
3157	212	m	1
3184	199	pc	0
342	152	app	0
342	314	app	1
342	8855	pc	1
3470	35694	app	1
3479	26516	m	0
3479	611	m	0
355	26516	m	0
355	8558	app	3
362	22431	m	7
362	8493	pc	2
362	8516	m	28
369	8735	m	0
37	14455	app	119
394	111	m	6
399	156	pc	0
4	113	pc	1
4	35984	pc	10
400	609	m	3
403	35691	app	0
403	8523	pc	5
413	8735	m	5
414	37981	pc	3
424	207	m	0
450	125	app	35
450	130	pc	7
450	8543	app	4
468	234	app	0
483	35828	app	14
497	111	pc	9
5	22431	app	24
5	8516	app	72
500	14502	pc	0
502	156	m	1
518	609	m	20
5334	460	pc	1
541	111	pc	15
556	111	m	17
556	34323	app	0
5653	8523	pc	1
5669	111	app	1
5669	35694	m	0
5695	14502	pc	1
5756	611	m	0
5845	133	app	0
5845	14455	app	1
592	96	pc	18
5928	8735	pc	1
5936	8516	m	0
606	14455	app	43
618	14502	pc	0
669	26516	app	0
669	26521	pc	0
6700	14526	app	1
6729	203	app	0
6745	360	m	0
6776	168	m	8
6776	212	m	1
6805	156	m	0
686	15520	m	0
6964	130	app	0
710	203	pc	6
7133	609	app	28
7133	8537	pc	0
7289	35694	m	0
740	710	m	3
740	97	m	0
7452	14000	m	1
7453	8493	m	0
751	8523	m	10
79	36488	pc	1
791	156	m	19
7921	8608	app	0
7951	207	m	0
811	234	m	13
831	168	app	6
831	212	app	2
836	8659	pc	0
837	35984	pc	2
845	14326	m	64
8481	8516	app	24
872	8493	m	0
8760	14502	m	0
882	14000	m	20
882	14419	pc	0
882	15520	app	0
891	186	pc	0
910	35694	pc	3
914	111	app	8
914	234	pc	2
93	199	pc	3
9326	234	app	0
9409	14455	app	1
9449	168	m	2
9449	212	m	2
9517	111	pc	0
952	14286	pc	4
9530	14326	m	0
9551	35694	pc	0
967	8735	pc	0
968	8558	app	2
9749	190	app	0
977	14526	app	0
9832	14000	pc	0
984	309	pc	1
9854	360	pc	0
1	14363	app	0
1005	14526	m	0
10097	212	app	0
102	186	app	3
102	96	m	726
10266	14286	m	0
10285	8516	m	3
1029	8516	app	15
10506	8493	m	0
1067	95	app	8
1078	34807	pc	0
1096	196	m	0
1096	22431	pc	0
122	15520	pc	7
12804	8445	m	0
135	14455	pc	8
147	710	m	8
147	97	m	7
158	8523	m	195
16	128	m	5
16	311	pc	2
172	310	pc	40
172	460	m	238
2015	35828	m	0
202	8523	m	135
2038	14286	m	0
2045	234	app	4
2047	96	app	16
2049	8735	pc	0
2050	212	m	0
2053	35136	pc	1
2054	128	m	1
2054	311	pc	2
2054	8546	m	0
2247	609	app	10
2284	8523	m	2
2292	203	app	0
2302	203	m	13
2307	130	pc	0
2315	168	pc	0
2319	128	pc	0
2323	460	app	4
2325	36012	m	0
2346	96	m	80
2347	14526	m	0
2350	190	app	2
2364	168	app	0
2364	212	app	0
2371	14286	m	0
2372	611	m	0
2380	96	app	40
241	14286	pc	8
2429	14000	app	7
265	8645	pc	1
291	26521	pc	0
293	14379	pc	0
296	111	m	1
297	196	pc	0
297	23087	pc	0
304	34806	pc	3
319	34806	m	4
3237	96	m	13
3266	102	app	0
3266	34806	pc	0
330	14326	app	3
342	186	pc	2
3479	360	m	1
375	168	m	18
375	212	m	10
385	35828	app	0
394	156	app	33
394	8558	m	2
4	190	app	60
4	23065	m	242
4	8442	pc	17
403	14286	pc	0
403	37863	m	0
408	611	m	0
414	234	app	39
424	118	m	1
450	203	pc	10
463	8609	pc	0
483	14455	m	60
497	8558	pc	0
518	196	m	1
523	190	m	0
541	8558	pc	5
541	8752	m	0
556	156	app	31
556	8558	m	1
5756	360	m	1
5772	168	pc	0
5772	212	pc	0
5845	8608	m	0
5853	14286	app	5
5853	26531	pc	0
5898	460	app	8
592	125	pc	15
592	8543	pc	1
5928	8523	app	3
5942	460	app	1
613	14502	app	5
629	8735	app	0
637	8493	app	1
645	14455	m	2
656	96	pc	0
669	234	m	8
6729	8493	pc	0
6729	8516	m	0
6745	611	app	0
6752	22431	app	0
6760	128	app	0
6760	14455	pc	2
6760	8546	app	0
6921	14326	m	0
693	156	m	14
6964	203	app	18
700	96	pc	26
7133	196	app	0
751	14286	m	0
751	8735	pc	0
771	311	m	1
772	35721	m	0
79	460	app	127
811	37981	pc	0
821	207	m	0
837	190	app	26
837	23065	m	45
837	8442	pc	3
8601	14455	m	0
8694	311	m	0
914	8558	app	5
9449	26523	m	0
946	14000	m	0
946	14419	pc	0
9481	460	m	7
9517	23087	app	0
9529	96	m	2
9617	34806	m	0
9656	14502	pc	0
967	8523	app	4
9688	311	pc	0
9709	168	app	1
9709	212	app	0
9749	14000	m	3
977	128	pc	0
977	8546	pc	0
9799	35691	pc	0
9811	111	m	0
9832	190	m	0
984	102	pc	0
1	460	pc	104
10039	22431	app	0
10106	14455	m	1
10198	14326	app	1
10198	460	pc	0
102	125	m	1220
102	41588	pc	11
102	8543	m	8
10387	190	pc	0
10461	96	pc	1
1057	22431	m	0
1067	14000	pc	1
1096	8537	pc	0
12804	611	app	0
13950	128	pc	0
14357	168	m	0
14357	212	m	1
158	14286	m	16
158	8735	pc	14
172	36488	pc	1
18	190	m	43
188	14326	app	44
188	35136	m	21
2	311	m	13
2015	311	m	4
202	14286	m	12
202	8735	pc	3
2039	360	m	1
2040	35984	m	0
2041	190	pc	0
2041	95	m	6
2042	203	m	1
2044	8735	app	0
2047	125	app	3
2047	130	pc	1
2047	8543	app	0
2049	8523	app	16
2050	26523	m	0
2052	8493	app	2
2055	168	pc	5
2055	212	pc	0
2192	207	m	0
222	311	m	3
2248	96	m	34
228	207	m	0
2303	199	pc	0
2307	203	pc	1
2329	14455	m	2
2337	710	m	0
2346	125	m	14
2350	14000	m	5
2363	14455	app	5
2372	360	m	0
2373	156	pc	8
2373	23087	m	0
2373	350	m	0
2380	125	app	6
2380	130	pc	1
2380	8543	app	0
2389	609	pc	5
2392	128	pc	0
2392	8546	pc	0
2395	130	m	0
2398	234	app	1
2408	234	m	0
265	14001	pc	0
276	8608	pc	0
291	234	m	1
293	96	m	8
296	156	app	12
296	8558	m	0
3	14539	pc	3
3	35721	m	4
304	14502	pc	6
3157	212	app	0
3177	609	m	30
319	14502	m	10
3198	8493	m	0
3237	125	m	5
3266	14502	pc	2
3359	14000	m	10
3445	8546	pc	0
3453	35691	pc	0
3470	234	m	1
3479	26516	app	0
3479	611	app	0
355	26516	app	0
362	22431	app	6
362	8516	app	22
367	203	m	0
385	14455	m	9
394	111	app	7
394	234	pc	1
400	609	app	1
408	360	m	0
409	156	pc	0
413	26531	m	7
413	8735	app	5
424	168	pc	32
424	207	app	1
424	212	pc	1
455	96	m	5
5	8493	m	15
502	156	app	1
502	8558	m	0
518	609	app	23
531	14326	m	6
531	8608	app	0
541	34323	m	1
556	111	app	16
556	234	pc	0
5632	36488	m	0
5632	8717	pc	0
5669	35694	app	0
5722	8546	pc	0
5733	168	m	6
5733	212	m	0
5756	611	app	0
5936	8516	app	0
637	15520	pc	0
652	14502	m	0
652	8444	m	1
656	125	pc	0
6752	8537	app	0
6776	168	app	12
6776	212	app	0
679	207	m	0
6805	156	app	0
686	14000	m	17
686	15520	app	0
693	111	m	2
6964	8493	pc	0
6964	8516	m	11
699	14455	app	0
700	125	pc	4
700	8543	pc	0
740	710	app	2
740	97	app	0
7452	14000	app	0
7453	8493	app	0
751	8523	app	10
771	8608	pc	2
772	168	m	56
772	212	m	22
776	311	pc	0
791	156	app	9
791	8558	m	0
7951	168	pc	0
7951	207	app	0
7951	212	pc	0
801	156	m	38
801	26516	pc	0
811	234	app	19
845	14326	app	34
8481	8493	m	0
8694	35828	app	0
872	8493	app	0
8760	14502	app	0
882	14000	app	7
8854	35691	pc	0
891	96	pc	10
9449	168	app	1
9449	212	app	0
9472	311	pc	0
9530	14326	app	0
9530	460	pc	2
9551	111	m	2
979	190	pc	0
979	95	m	1
9811	156	app	1
9811	8558	m	0
9837	95	m	1
984	26523	pc	7
1005	14526	app	0
10088	14000	pc	1
10171	95	m	1
102	96	app	937
10229	156	m	3
10260	96	m	7
10266	14286	app	0
10285	8516	app	14
1029	8493	m	0
1039	37863	pc	0
10461	125	pc	5
1057	36008	pc	1
1057	38118	app	0
1057	8537	m	0
1078	35691	pc	0
1096	196	app	0
122	14000	pc	22
122	8717	pc	1
12291	36008	pc	0
12804	360	app	0
12804	8445	app	0
147	710	app	5
147	97	app	7
158	8523	app	176
16	128	app	1
16	133	pc	0
16	8546	app	0
172	460	app	69
18	113	pc	1
18	35984	pc	3
188	8658	m	0
2	356	app	2
2	8608	pc	26
2015	35828	app	1
202	8523	app	101
2032	96	m	38
2038	14286	app	0
2041	15520	pc	0
2047	14363	pc	0
2047	203	pc	6
2053	14326	m	20
2054	128	app	2
2054	14455	pc	4
2054	8546	app	0
222	8608	pc	4
2248	125	m	5
2248	8543	m	0
228	35721	pc	0
2284	8523	app	1
2302	203	app	13
2325	36012	app	0
2337	14286	m	0
2346	96	app	35
2347	14526	app	0
2371	14286	app	1
2372	611	app	0
2373	111	pc	3
2378	23087	pc	0
2378	350	pc	0
2380	203	pc	3
2389	14379	m	0
2395	203	m	1
241	171	pc	2
2429	14419	m	0
265	14363	pc	1
265	199	m	2
293	125	m	0
296	111	app	2
296	234	pc	0
3	168	m	503
3	212	m	169
319	34806	app	1
3237	96	app	16
3251	102	m	0
3328	156	pc	4
342	96	pc	178
3479	360	app	1
355	234	m	4
357	96	m	25
375	168	app	46
375	212	app	8
394	8558	app	6
4	23065	app	75
4	26518	pc	0
403	37863	app	0
413	14526	m	8
424	118	app	0
424	8659	pc	0
455	125	m	0
471	310	pc	15
471	460	m	32
483	14455	app	41
497	156	m	25
5	36008	m	1
5	37861	app	0
502	234	pc	0
518	196	app	0
523	190	app	1
523	23065	m	7
537	168	app	1
541	156	m	101
541	26516	pc	0
556	8558	app	2
572	309	pc	0
5756	360	app	1
5845	8608	app	0
5898	26516	pc	0
5898	310	m	0
5898	611	pc	0
5942	611	pc	0
623	199	app	0
645	14455	app	3
669	234	app	6
6718	95	pc	0
6729	8516	app	0
6745	8523	pc	7
6921	14326	app	1
693	156	app	13
693	8558	m	1
710	130	m	0
710	8516	pc	0
722	128	m	0
722	311	pc	2
722	8546	m	0
725	22431	m	0
728	207	pc	0
7303	311	pc	0
751	14286	app	0
7620	14286	m	0
771	133	m	1
771	311	app	3
772	35721	app	0
783	26523	m	0
783	309	app	0
79	310	m	14
79	34807	pc	0
79	611	pc	70
791	234	pc	0
801	111	m	5
811	145	app	0
821	168	pc	11
821	212	pc	1
836	168	m	0
836	212	m	0
837	23065	app	14
8582	168	pc	3
8601	14455	app	0
8694	14455	m	5
8760	96	pc	4
