sloc1	scate2	platform	clks_one_day
9704	14455	m	2
9704	311	app	0
9799	14000	m	9
9993	14455	m	0
1	37861	m	2
1005	14502	app	0
10097	14455	pc	0
10134	14363	pc	0
10134	203	pc	0
10260	609	pc	0
1029	95	m	1
10362	156	pc	0
10362	23087	m	0
1039	14000	app	8
10417	168	app	3
10417	212	app	1
10461	14379	pc	0
10506	95	app	10
10524	156	pc	0
10524	23087	m	0
1057	111	app	4
1057	234	pc	1
1057	35694	m	2
1078	8442	pc	0
1096	156	m	4
11226	125	m	0
122	35984	pc	5
12291	111	app	10
12291	234	pc	2
12291	35694	m	0
12804	14286	pc	0
135	311	app	5
147	152	pc	0
147	26523	m	33
147	309	app	1
147	314	pc	1
18	14354	app	7
18	207	pc	31
2015	14326	pc	5
2032	609	pc	2
2039	35691	app	0
2043	96	app	15
2045	8735	pc	1
2047	609	m	6
2048	125	pc	1
2048	8543	pc	0
2052	14000	pc	1
2053	8493	pc	2
2053	8516	m	18
2247	111	m	6
228	14526	m	3
2296	234	m	0
2303	125	app	1
2303	130	pc	1
2307	22431	pc	0
2315	8546	pc	0
2325	35828	app	0
2342	96	m	61
2347	14502	app	0
2360	168	app	1
2360	212	app	0
2363	14326	m	6
2364	128	app	0
2364	14455	pc	0
2364	8546	app	0
2372	35691	app	0
2372	710	pc	0
2372	97	pc	0
2381	125	pc	1
2381	8543	pc	0
2398	8523	m	13
2422	35136	app	1
2429	168	pc	7
2429	207	app	2
2429	212	pc	1
276	199	app	1
293	196	pc	0
296	360	m	0
297	156	pc	2
3177	23087	app	0
3177	8558	pc	0
319	96	pc	120
3209	130	m	0
3251	168	app	11
3251	212	app	1
330	310	pc	8
330	460	m	12
3328	460	app	8
342	14455	app	52
3434	125	pc	5
3434	8543	pc	0
3453	14000	m	6
3479	14286	pc	0
3479	37863	m	0
355	14286	pc	0
362	35694	app	2
362	8692	app	0
37	14326	app	73
375	128	m	0
375	311	pc	0
375	8546	m	0
394	35691	m	0
394	611	app	3
399	360	pc	0
400	156	m	0
413	14502	m	2
413	37862	pc	0
413	8444	m	0
414	14286	m	7
414	8735	pc	9
424	14526	app	4
450	609	app	35
450	8537	pc	0
463	26531	m	1
463	8735	app	1
468	8523	app	2
471	8493	app	2
497	310	app	2
502	360	m	0
518	156	m	34
523	37981	app	1
5334	36488	pc	0
537	311	pc	0
541	310	app	31
541	35691	pc	1
556	35691	m	0
556	611	app	0
5653	14286	m	0
5709	14455	m	2
5845	14326	app	0
606	14326	app	34
613	14379	pc	0
623	203	m	25
637	190	m	2
652	96	pc	8
669	171	pc	1
6803	34806	app	0
6921	8516	app	6
693	611	m	0
6964	8692	m	0
7133	156	app	18
7133	8558	m	0
722	199	pc	0
726	203	pc	0
728	14286	app	0
740	102	app	27
7453	14000	pc	2
7468	14000	m	4
7620	102	m	6
771	199	app	2
783	35828	pc	0
791	360	m	0
7951	35721	m	0
811	8523	m	36
882	309	pc	0
8854	14000	m	18
910	145	pc	0
910	8558	app	7
914	35691	app	1
914	8523	pc	9
927	125	m	8
93	14379	app	4
9363	96	m	19
9444	14455	m	0
9499	168	app	7
9499	212	app	2
952	710	app	1
961	125	app	2
961	130	pc	0
961	14379	m	0
961	8543	app	0
968	14286	pc	0
9687	8493	pc	0
9709	14455	pc	0
984	168	m	39
984	212	m	24
9871	35984	pc	0
1	8493	m	127
1005	96	pc	10
1029	15520	pc	0
10506	14000	pc	1
1057	8558	app	3
1078	14000	m	23
1078	15520	app	0
1096	111	m	0
122	190	app	16
122	23065	m	146
122	38117	pc	0
122	8442	pc	8
12291	8558	app	0
135	14326	pc	4
147	102	app	21
158	34806	pc	12
16	14001	pc	0
172	14000	pc	11
172	8717	pc	1
18	118	pc	2
18	37981	app	7
188	310	pc	48
188	460	m	219
2	199	app	10
2	8645	m	2
2015	199	app	2
202	34806	pc	6
2032	196	pc	0
2038	14502	pc	0
2039	14286	pc	0
2043	125	app	0
2043	130	pc	0
2043	8543	app	1
2045	8523	app	23
2046	35694	app	0
2047	196	m	0
2047	22431	pc	0
2048	186	m	0
2052	190	m	0
222	199	app	1
2247	156	app	12
2247	8558	m	1
228	26531	app	1
2302	95	pc	1
2303	203	pc	3
2307	609	app	4
2325	14455	m	9
2328	8493	app	0
2342	125	m	43
2347	96	pc	8
2372	14286	pc	0
2373	310	m	1
2373	611	pc	1
2380	196	m	0
2380	22431	pc	0
2394	234	app	0
241	710	app	12
2422	34323	pc	0
265	130	m	26
265	22431	pc	7
265	41588	app	0
265	8516	pc	66
296	35691	m	0
296	611	app	0
297	111	pc	1
304	314	app	3
304	8855	pc	0
3157	128	app	0
3177	35694	pc	0
319	125	pc	43
319	8543	pc	16
3237	14379	app	0
330	36488	pc	0
362	190	pc	8
362	95	m	46
394	360	app	7
399	310	app	1
4	207	m	23
403	710	app	0
407	26523	app	0
409	611	pc	0
413	34806	app	3
414	8523	app	170
424	128	pc	3
424	8546	pc	1
450	196	app	1
463	14526	m	2
471	15520	pc	1
483	14326	m	51
483	8608	app	31
5	23065	pc	5
5	95	app	164
502	611	app	1
518	111	m	4
520	8516	app	0
5333	14000	app	4
5334	8493	app	0
541	36488	app	0
556	360	app	5
5632	14000	m	56
5632	14419	pc	0
5632	15520	app	0
5733	128	m	0
592	609	pc	4
5936	95	m	1
613	186	app	0
613	96	m	46
623	130	app	1
629	14502	app	0
645	14326	m	0
645	8608	app	0
652	125	pc	11
669	8523	m	71
6718	35694	app	0
6776	14455	pc	1
6793	125	pc	5
693	360	m	1
710	35694	pc	0
7133	111	app	6
7133	234	pc	4
7133	35694	m	6
7154	190	app	0
728	14526	pc	1
740	26523	app	13
7452	212	pc	0
7453	190	m	1
751	14502	pc	0
772	128	m	34
79	15520	m	0
791	35691	m	0
791	611	app	0
7921	310	pc	0
7951	8546	pc	0
801	611	m	0
811	14286	m	5
811	8735	pc	3
821	14526	app	0
837	207	m	4
845	310	pc	19
845	460	m	91
8481	95	app	1
858	26523	app	1
8601	14326	m	0
872	190	m	1
8760	14379	pc	0
882	102	pc	1
901	14455	app	1
927	96	app	4
9363	125	m	8
9363	8543	m	0
9449	14455	pc	0
9449	8546	app	0
9530	8493	m	0
9539	8537	app	0
961	203	pc	3
9704	133	app	0
9704	14455	app	1
9717	14286	pc	0
9749	118	m	0
9799	14000	app	3
984	35721	app	0
9993	14455	app	0
1	36008	m	8
1	37861	app	6
1005	125	pc	8
1005	8543	pc	0
102	609	m	549
10285	95	m	5
1029	95	app	2
10362	23087	app	0
10448	203	m	1
10506	190	m	0
10524	23087	app	0
10536	96	m	19
1057	35694	app	5
1096	156	app	0
1096	8558	m	0
12291	35694	app	0
13951	8735	app	0
147	26523	app	10
158	14502	pc	35
1734	168	m	14
1734	212	m	1
18	8609	pc	4
188	36488	pc	2
2	14001	m	0
202	14502	pc	3
2042	95	pc	0
2047	609	app	6
2047	8537	pc	0
2053	8516	app	39
2054	199	m	0
2247	111	app	7
2247	234	pc	0
2247	35694	m	1
228	14526	app	2
2299	14526	app	0
2342	96	app	25
2346	609	m	4
2347	125	pc	4
2363	14326	app	4
2363	35136	m	0
2363	460	pc	3
2373	34323	app	0
2373	360	pc	0
2378	310	pc	1
2378	460	m	6
2380	8537	pc	0
2389	156	pc	2
2398	8523	app	8
2408	8523	m	0
2422	310	pc	5
2422	460	m	10
265	203	m	317
291	8523	m	20
296	360	app	0
297	8558	pc	1
3	128	m	83
3	311	pc	46
3	8546	m	11
304	186	pc	3
3177	156	m	43
3184	130	m	0
3184	8516	pc	2
319	186	m	3
3198	14000	pc	0
3209	130	app	0
3237	609	m	5
330	460	app	16
3328	26516	pc	0
3328	611	pc	1
3453	14000	app	1
3470	8523	m	9
3479	37863	app	0
367	95	pc	0
369	14502	app	0
375	128	app	1
375	133	pc	0
375	8546	app	0
385	14326	m	3
394	35691	app	3
394	8523	pc	6
4	118	m	17
4	35721	pc	19
400	156	app	1
400	8558	m	0
409	360	pc	0
413	14502	app	3
413	8444	app	0
414	14286	app	14
414	171	m	2
414	26531	pc	11
450	35694	pc	2
450	36011	app	0
450	8692	pc	0
463	26531	app	0
468	14526	pc	0
497	611	m	1
500	96	pc	1
502	360	app	0
505	152	m	0
518	156	app	24
518	8558	m	0
541	611	m	4
556	35691	app	0
556	8523	pc	27
5653	14286	app	0
5709	14455	app	1
5756	37863	app	0
592	196	pc	0
592	23087	pc	0
613	125	m	17
613	8543	m	1
623	203	app	21
637	190	app	2
652	186	m	0
656	609	pc	0
669	14286	m	2
669	8735	pc	3
6700	96	m	43
6745	710	m	0
6745	97	m	0
6760	199	app	0
6770	460	m	1
679	14526	app	0
686	309	pc	1
6921	8493	m	1
693	35691	m	0
693	611	app	0
698	360	pc	0
700	609	pc	15
7133	8558	app	0
7154	14000	m	4
728	8735	m	0
7468	14000	app	5
7620	102	app	4
776	14001	pc	0
791	360	app	0
801	360	m	0
801	8445	m	0
811	8523	app	88
821	128	pc	0
821	8546	pc	0
837	118	m	2
837	35721	pc	4
845	36488	pc	0
8582	128	pc	0
872	35984	pc	0
8854	14000	app	5
927	125	app	3
927	130	pc	0
927	8543	app	0
93	130	m	37
93	22431	pc	6
93	8516	pc	25
9363	96	app	33
9444	14455	app	0
9481	35691	pc	0
961	14379	app	0
9687	8516	app	0
9736	203	m	8
9749	168	pc	0
9749	212	pc	0
977	199	pc	0
9811	29389	app	0
9811	360	app	0
984	168	app	113
984	212	app	31
9871	207	pc	0
1	8493	app	53
10134	130	m	0
10198	8493	app	0
102	196	m	49
102	23087	m	117
10229	360	m	0
1029	14000	pc	2
1039	309	pc	0
10461	609	pc	1
10536	125	m	3
10539	234	pc	0
1078	14000	app	32
1096	35694	m	1
122	23065	app	22
135	8608	m	0
188	460	app	112
2	14363	m	0
2	8645	app	0
2047	196	app	0
2048	96	m	12
2049	14526	m	2
2052	190	app	1
2054	14326	pc	1
2192	8546	pc	0
2247	8558	app	2
2248	609	m	8
228	128	pc	1
228	8546	pc	1
2325	14455	app	4
2342	125	app	3
2342	130	pc	2
2350	168	pc	2
2350	212	pc	2
2354	128	pc	0
2354	8546	pc	0
2364	8608	pc	0
2371	314	m	0
2373	310	app	1
2392	199	pc	0
265	130	app	9
291	14286	m	1
291	8735	pc	2
293	609	m	0
296	35691	app	0
296	8523	pc	0
3163	14379	pc	0
3177	111	m	2
3184	203	m	20
319	14379	pc	11
319	8855	app	0
3237	196	m	0
3237	22431	pc	0
3251	36012	m	0
3328	360	pc	0
3359	168	pc	5
3359	212	pc	0
3434	96	m	11
355	8523	m	12
362	95	app	45
37	34323	pc	17
394	14286	pc	1
4	168	pc	178
4	207	app	29
4	212	pc	65
4	8609	m	1
409	310	app	0
414	14526	pc	10
455	609	m	1
463	14526	app	4
471	14000	pc	10
471	8717	pc	0
483	14326	app	27
497	360	m	3
497	8445	m	0
5	190	m	25
500	125	pc	1
502	8523	pc	0
518	111	app	5
518	234	pc	4
523	207	m	0
531	310	pc	3
531	460	m	9
541	360	m	18
541	8445	m	16
541	8746	pc	0
556	14286	pc	0
5632	14000	app	7
5653	14526	pc	0
572	168	m	31
5733	128	app	0
5733	133	pc	0
592	36011	pc	0
5936	95	app	2
606	34323	pc	0
613	96	app	44
623	8493	pc	0
623	8516	m	30
648	14000	m	0
669	8523	app	50
6700	125	m	8
6700	8543	m	0
6718	234	m	0
6729	15520	pc	0
6745	14286	m	0
6752	234	app	0
679	128	pc	0
679	8546	pc	0
6803	125	pc	1
693	360	app	0
6964	190	pc	2
6964	95	m	38
7133	24056	app	0
7133	35694	app	4
726	8516	pc	0
740	152	m	1
740	314	m	2
7453	190	app	0
772	128	app	1
772	8546	app	0
783	14455	pc	2
79	14000	m	91
79	14419	pc	1
79	15520	app	1
791	35691	app	0
791	8523	pc	0
801	35691	m	0
801	611	app	0
811	14286	app	15
811	26531	pc	0
831	311	app	0
837	168	pc	104
837	207	app	18
837	212	pc	22
837	8609	m	0
8398	14000	m	5
845	460	app	44
8601	14326	app	0
8694	14326	m	1
872	190	app	1
891	609	pc	6
910	234	m	3
914	171	pc	0
914	37863	app	0
927	203	pc	0
93	203	m	165
9363	125	app	5
9363	130	pc	0
9363	8543	app	0
9551	360	app	0
9617	14379	pc	0
968	8523	m	11
9811	8523	pc	0
984	35828	pc	1
984	8659	app	0
993	156	pc	7
1	148	app	0
1	15520	pc	13
1	36008	app	13
10070	130	app	0
10097	14455	m	1
10134	203	m	3
10171	23065	m	0
102	609	app	234
102	8537	pc	10
10260	609	m	3
10285	95	app	5
10362	156	m	1
10387	207	pc	0
10448	203	app	1
10454	310	pc	1
10461	196	pc	0
10506	190	app	0
10524	156	m	0
10536	96	app	20
1057	234	m	3
1078	8442	m	1
1096	8558	app	0
122	35984	m	3
12291	234	m	3
147	314	m	4
158	8761	pc	0
16	199	app	0
1734	168	app	12
1734	212	app	0
18	207	m	38
2	14001	app	0
2015	14326	m	20
202	8761	pc	0
2032	609	m	8
2045	8735	m	0
2048	125	m	6
2048	8543	m	0
2050	311	m	0
2052	14000	m	10
2053	8493	m	0
2054	199	app	1
2247	35694	app	0
2292	15520	pc	0
2303	130	m	0
2303	8516	pc	0
2315	128	m	0
2315	8546	m	0
2323	35691	m	0
2329	460	pc	0
2342	203	pc	8
2346	609	app	4
2346	8537	pc	0
2363	35136	app	0
2364	14455	m	2
2372	710	m	0
2372	97	m	0
2378	460	app	7
2380	8692	pc	0
2381	125	m	7
2408	8523	app	0
241	34806	pc	0
2422	460	app	15
2429	168	m	20
2429	212	m	3
265	203	app	165
265	37861	pc	0
291	8523	app	26
293	196	m	0
293	23087	m	1
297	156	m	5
3	128	app	17
3	133	pc	12
3	8546	app	2
304	96	pc	118
3157	35828	app	0
3177	156	app	18
3177	8558	m	1
3184	130	app	0
319	186	app	2
319	96	m	690
3209	8493	pc	0
3237	609	app	1
3237	8537	pc	0
330	310	m	7
330	611	pc	4
3359	26523	pc	0
342	609	pc	86
3434	125	m	9
3434	8543	m	0
3470	8523	app	18
3479	14286	m	0
355	14286	m	0
355	8735	pc	0
37	156	pc	161
385	14326	app	3
4	118	app	9
4	8659	pc	56
400	8558	app	0
414	171	app	4
414	8735	m	1
450	8537	m	0
463	128	pc	0
463	8546	pc	1
469	234	app	0
497	34807	app	0
497	35691	m	0
497	611	app	1
5	35984	pc	2
505	8855	pc	0
518	8558	app	1
541	35691	m	2
541	611	app	16
5669	37981	m	0
5756	14286	m	0
5853	186	pc	0
5853	34806	app	0
5898	35691	m	0
606	156	pc	59
613	125	app	18
613	130	pc	1
613	14379	m	0
613	8543	app	3
652	96	m	56
669	14286	app	2
669	171	m	5
669	26531	pc	1
6700	96	app	44
6745	710	app	0
6745	97	app	1
6770	460	app	0
6921	8493	app	0
693	35691	app	0
693	8523	pc	2
710	95	pc	4
7154	14000	app	1
722	199	m	0
726	203	m	0
728	8735	app	0
7453	14000	m	17
783	35828	m	0
791	14286	pc	0
7951	35828	pc	0
801	360	app	1
811	14526	pc	7
837	118	app	0
8760	609	pc	1
882	309	m	1
891	196	pc	1
910	145	m	0
914	8523	m	20
93	130	app	5
9363	14363	pc	0
9363	203	pc	1
9422	203	m	0
9472	14326	pc	0
952	8444	pc	0
9551	8523	pc	0
961	130	m	0
961	22431	pc	1
968	14286	m	0
968	8735	pc	0
9709	14455	m	1
9736	203	app	1
9799	309	pc	0
993	111	pc	3
9976	203	pc	0
1005	96	m	30
1016	199	pc	0
102	196	app	22
102	23087	app	81
10229	360	app	0
10260	22431	pc	0
10285	14000	pc	1
10448	8493	pc	0
10506	14000	m	4
10513	360	pc	1
10536	125	app	1
10536	130	pc	0
1078	14419	m	0
1086	156	pc	11
1096	35694	app	1
122	38117	m	0
122	8442	m	5
12804	710	app	0
135	14326	m	9
135	8608	app	1
158	34806	m	5
172	14000	m	142
172	14419	pc	7
172	15520	app	0
18	118	m	6
18	35721	pc	7
188	310	m	27
188	34807	pc	3
188	611	pc	11
2	14363	app	1
202	34806	m	5
2032	196	m	0
2032	22431	pc	0
2037	609	pc	9
2038	14502	m	0
2039	14286	m	0
2040	128	pc	0
2040	8546	pc	0
2047	22431	m	1
2048	96	app	13
2049	14526	app	4
2248	609	app	1
2302	95	m	4
2303	203	m	13
2307	8537	m	0
2347	96	m	20
2372	14286	m	0
2373	611	m	0
2380	22431	m	0
2389	35694	pc	0
2398	8735	m	0
2422	34323	m	0
265	22431	m	12
265	8493	pc	17
265	8516	m	270
276	460	pc	4
291	14286	app	2
291	26531	pc	0
297	111	m	2
304	125	pc	38
304	8543	pc	6
3157	14455	m	0
3177	111	app	1
3177	234	pc	0
3177	35694	m	1
3184	203	app	11
319	125	m	402
319	41588	pc	0
319	8543	m	7
3237	196	app	0
3251	36012	app	0
330	360	pc	1
330	8445	pc	0
342	196	pc	32
342	23087	pc	5
3434	96	app	11
3439	125	pc	0
355	8523	app	18
362	190	m	11
37	111	pc	74
399	611	app	0
4	8609	app	2
403	14502	pc	0
424	128	m	4
424	311	pc	3
424	8546	m	1
450	95	pc	16
455	609	app	1
471	15520	m	0
497	360	app	2
5	190	app	12
5	23065	m	76
523	168	pc	9
523	207	app	0
523	212	pc	1
531	460	app	11
5333	102	pc	0
537	8608	pc	0
541	360	app	22
541	8445	app	13
5632	14419	m	0
5669	8735	pc	0
572	168	app	40
592	609	m	8
606	111	pc	41
613	203	pc	5
623	8516	app	30
648	14000	app	0
652	125	m	15
669	14526	pc	3
6700	125	app	4
6700	130	pc	2
6700	8543	app	0
6718	234	app	0
6729	14000	pc	1
6745	14286	app	0
6760	14326	m	0
6776	14455	m	1
6793	125	m	12
696	8855	pc	0
6964	95	app	57
710	35694	m	1
7133	234	m	6
728	14526	m	0
7303	14326	pc	1
740	152	app	0
740	314	app	1
7452	212	m	0
751	14502	m	0
771	460	pc	7
79	14000	app	39
79	8717	app	0
7921	310	m	0
801	35691	app	3
801	8523	pc	5
811	8735	m	0
837	8609	app	0
8398	14000	app	0
845	310	m	22
845	611	pc	22
8694	14326	app	0
8694	460	pc	0
8760	14379	m	0
882	102	m	3
901	609	pc	2
910	234	app	8
914	14286	m	0
914	8735	pc	0
93	203	app	123
9422	130	app	0
944	14326	app	0
9449	14455	m	0
9517	360	app	0
961	203	m	11
967	34806	app	0
968	8523	app	19
9736	8493	pc	0
977	14001	pc	0
