sloc1	scate2	sloc-scate	online_price	member_price
3434	360	3434-360	14.4	10.8
265	8735	265-8735	14.4	10.8
811	26516	811-26516	14.4	10.8
265	34806	265-34806	14.4	10.8
394	8445	394-8445	14.4	10.8
16	8608	16-8608	14.4	10.8
241	35984	241-35984	14.4	10.8
147	34806	147-34806	14.4	10.8
637	14526	637-14526	14.4	10.8
304	29389	304-29389	14.4	10.8
2347	203	2347-203	14.4	10.8
5	8445	5-8445	14.4	10.8
613	310	613-310	14.4	10.8
5334	460	5334-460	14.4	10.8
16	14286	16-14286	14.4	10.8
771	14419	771-14419	14.4	10.8
7620	8735	7620-8735	14.4	10.8
2037	14286	2037-14286	14.4	10.8
362	360	362-360	14.4	10.8
910	8543	910-8543	14.4	10.8
135	35828	135-35828	14.4	10.8
6793	96	6793-96	14.4	10.8
202	171	202-171	14.4	10.8
2342	360	2342-360	14.4	10.8
606	130	606-130	14.4	10.8
1086	190	1086-190	14.4	10.8
497	460	497-460	14.4	10.8
910	190	910-190	14.4	10.8
2284	156	2284-156	14.4	10.8
858	8445	858-8445	14.4	10.8
9472	8543	9472-8543	14.4	10.8
984	199	984-199	14.4	10.8
12804	14286	12804-14286	14.4	10.8
3	171	3-171	14.4	10.8
6760	8543	6760-8543	14.4	10.8
5853	310	5853-310	14.4	10.8
4	171	4-171	14.4	10.8
891	8516	891-8516	14.4	10.8
4	314	4-314	14.4	10.8
629	360	629-360	14.4	10.8
2422	8735	2422-8735	14.4	10.8
914	8516	914-8516	14.4	10.8
122	35984	122-35984	14.4	10.8
637	8735	637-8735	14.4	10.8
10434	8523	10434-8523	14.4	10.8
158	26516	158-26516	14.4	10.8
968	14526	968-14526	14.4	10.8
845	35721	845-35721	14.4	10.8
811	35828	811-35828	14.4	10.8
2	8692	2-8692	14.4	10.8
79	8546	79-8546	14.4	10.8
3	8658	3-8658	14.4	10.8
135	8735	135-8735	14.4	10.8
2429	460	2429-460	14.4	10.8
882	460	882-460	14.4	10.8
304	199	304-199	14.4	10.8
2	8719	2-8719	14.4	10.8
102	41588	102-41588	14.4	10.8
172	36008	172-36008	14.4	10.8
10285	8516	10285-8516	14.4	10.8
1078	8558	1078-8558	14.4	10.8
222	35828	222-35828	14.4	10.8
1057	8523	1057-8523	14.4	10.8
2040	96	2040-96	14.4	10.8
265	314	265-314	14.4	10.8
304	8442	304-8442	14.4	10.8
5334	8523	5334-8523	14.4	10.8
1067	460	1067-460	14.4	10.8
2032	207	2032-207	14.4	10.8
147	37981	147-37981	14.4	10.8
944	212	944-212	14.4	10.8
858	35828	858-35828	14.4	10.8
188	34807	188-34807	14.4	10.8
3	41588	3-41588	14.4	10.8
2363	130	2363-130	14.4	10.8
414	34807	414-34807	14.4	10.8
531	8735	531-8735	14.4	10.8
1	26522	1-26522	14.4	10.8
102	34806	102-34806	14.4	10.8
1057	460	1057-460	14.4	10.8
520	8659	520-8659	14.4	10.8
9363	14286	9363-14286	14.4	10.8
3	186	3-186	14.4	10.8
771	460	771-460	14.4	10.8
693	360	693-360	14.4	10.8
946	8523	946-8523	14.4	10.8
6718	460	6718-460	14.4	10.8
18	26518	18-26518	14.4	10.8
4	41588	4-41588	14.4	10.8
751	460	751-460	14.4	10.8
93	186	93-186	14.4	10.8
2371	460	2371-460	14.4	10.8
927	460	927-460	14.4	10.8
2422	310	2422-310	14.4	10.8
3	343	3-343	14.4	10.8
7303	190	7303-190	14.4	10.8
228	199	228-199	14.4	10.8
858	190	858-190	14.4	10.8
623	14526	623-14526	14.4	10.8
740	8855	740-8855	14.4	10.8
652	8558	652-8558	14.4	10.8
858	207	858-207	14.4	10.8
914	130	914-130	14.4	10.8
7620	207	7620-207	14.4	10.8
2363	14526	2363-14526	14.4	10.8
3453	36011	3453-36011	14.4	10.8
385	360	385-360	14.4	10.8
5722	360	5722-360	14.4	10.8
2192	8537	2192-8537	14.4	10.8
858	8546	858-8546	14.4	10.8
3489	14526	3489-14526	14.4	10.8
2284	8735	2284-8735	14.4	10.8
6700	14379	6700-14379	14.4	10.8
5845	360	5845-360	14.4	10.8
2364	156	2364-156	14.4	10.8
5756	360	5756-360	14.4	10.8
2381	360	2381-360	14.4	10.8
2	171	2-171	14.4	10.8
2299	130	2299-130	14.4	10.8
5	14001	5-14001	14.4	10.8
1096	310	1096-310	14.4	10.8
5633	8523	5633-8523	14.4	10.8
291	8537	291-8537	14.4	10.8
927	8523	927-8523	14.4	10.8
1039	130	1039-130	14.4	10.8
394	309	394-309	14.4	10.8
910	36008	910-36008	14.4	10.8
172	8546	172-8546	14.4	10.8
135	309	135-309	14.4	10.8
463	133	463-133	14.4	10.8
355	8537	355-8537	14.4	10.8
10015	8523	10015-8523	14.4	10.8
2049	111	2049-111	14.4	10.8
7576	460	7576-460	14.4	10.8
2045	460	2045-460	14.4	10.8
9688	14286	9688-14286	14.4	10.8
858	14526	858-14526	14.4	10.8
330	35828	330-35828	14.4	10.8
2373	14326	2373-14326	14.4	10.8
1086	8523	1086-8523	14.4	10.8
2045	130	2045-130	14.4	10.8
518	360	518-360	14.4	10.8
471	133	471-133	14.4	10.8
10171	8523	10171-8523	14.4	10.8
463	34806	463-34806	14.4	10.8
6803	8537	6803-8537	14.4	10.8
9799	190	9799-190	14.4	10.8
10088	203	10088-203	14.4	10.8
330	130	330-130	14.4	10.8
330	8543	330-8543	14.4	10.8
505	14526	505-14526	14.4	10.8
2350	133	2350-133	14.4	10.8
5333	8523	5333-8523	14.4	10.8
16	41588	16-41588	14.4	10.8
102	36488	102-36488	14.4	10.8
3	14539	3-14539	14.4	10.8
2346	460	2346-460	14.4	10.8
2053	152	2053-152	14.4	10.8
686	22431	686-22431	14.4	10.8
2045	14526	2045-14526	14.4	10.8
3359	460	3359-460	14.4	10.8
6964	310	6964-310	14.4	10.8
645	190	645-190	14.4	10.8
2325	8516	2325-8516	14.4	10.8
222	145	222-145	14.4	10.8
9530	460	9530-460	14.4	10.8
2053	26531	2053-26531	14.4	10.8
2045	133	2045-133	14.4	10.8
1039	133	1039-133	14.4	10.8
10362	460	10362-460	14.4	10.8
471	460	471-460	14.4	10.8
265	37863	265-37863	14.4	10.8
3	14255	3-14255	14.4	10.8
355	8543	355-8543	14.4	10.8
394	14526	394-14526	14.4	10.8
276	8608	276-8608	14.4	10.8
606	8608	606-8608	14.4	10.8
483	36488	483-36488	14.4	10.8
424	36488	424-36488	14.4	10.8
652	8735	652-8735	14.4	10.8
265	36488	265-36488	14.4	10.8
933	14502	933-14502	14.4	10.8
2350	8523	2350-8523	14.4	10.8
12804	8445	12804-8445	14.4	10.8
5334	8516	5334-8516	14.4	10.8
9976	14286	9976-14286	14.4	10.8
7154	311	7154-311	14.4	10.8
471	14419	471-14419	14.4	10.8
2248	8493	2248-8493	14.4	10.8
330	207	330-207	14.4	10.8
2053	14526	2053-14526	14.4	10.8
505	133	505-133	14.4	10.8
355	29389	355-29389	14.4	10.8
424	14001	424-14001	14.4	10.8
37	14255	37-14255	14.4	10.8
2248	156	2248-156	14.4	10.8
2429	35828	2429-35828	14.4	10.8
385	14526	385-14526	14.4	10.8
8582	8516	8582-8516	14.4	10.8
12804	8735	12804-8735	14.4	10.8
791	360	791-360	14.4	10.8
2043	8523	2043-8523	14.4	10.8
202	36488	202-36488	14.4	10.8
837	34807	837-34807	14.4	10.8
276	8493	276-8493	14.4	10.8
772	145	772-145	14.4	10.8
541	14001	541-14001	14.4	10.8
722	145	722-145	14.4	10.8
872	360	872-360	14.4	10.8
6803	14286	6803-14286	14.4	10.8
342	34806	342-34806	14.4	10.8
1	37862	1-37862	14.4	10.8
385	34806	385-34806	14.4	10.8
5936	360	5936-360	14.4	10.8
93	14419	93-14419	14.4	10.8
9811	460	9811-460	14.4	10.8
5898	609	5898-609	14.4	10.8
944	460	944-460	14.4	10.8
12291	8523	12291-8523	14.4	10.8
7133	8746	7133-8746	14.4	10.8
656	8516	656-8516	14.4	10.8
726	8523	726-8523	14.4	10.8
10159	15520	10159-15520	14.4	10.8
18	26516	18-26516	14.4	10.8
1086	14502	1086-14502	14.4	10.8
6921	14379	6921-14379	14.4	10.8
222	8608	222-8608	14.4	10.8
3328	14502	3328-14502	14.4	10.8
3198	14502	3198-14502	14.4	10.8
497	8523	497-8523	14.4	10.8
837	34806	837-34806	14.4	10.8
3237	460	3237-460	14.4	10.8
9551	310	9551-310	14.4	10.8
2429	8543	2429-8543	14.4	10.8
984	8546	984-8546	14.4	10.8
933	310	933-310	14.4	10.8
12291	35828	12291-35828	14.4	10.8
8694	8523	8694-8523	14.4	10.8
9551	311	9551-311	14.4	10.8
6700	14502	6700-14502	14.4	10.8
102	34807	102-34807	14.4	10.8
79	314	79-314	14.4	10.8
414	37863	414-37863	14.4	10.8
471	14526	471-14526	14.4	10.8
9444	360	9444-360	14.4	10.8
8582	8523	8582-8523	14.4	10.8
2247	34806	2247-34806	14.4	10.8
606	14526	606-14526	14.4	10.8
7453	460	7453-460	14.4	10.8
93	8445	93-8445	14.4	10.8
801	199	801-199	14.4	10.8
2342	14526	2342-14526	14.4	10.8
10564	168	10564-168	14.4	10.8
1086	8546	1086-8546	14.4	10.8
523	133	523-133	14.4	10.8
8854	207	8854-207	14.4	10.8
93	14001	93-14001	14.4	10.8
531	8546	531-8546	14.4	10.8
5653	14379	5653-14379	14.4	10.8
9656	310	9656-310	14.4	10.8
5	37863	5-37863	14.4	10.8
158	8692	158-8692	14.4	10.8
3470	130	3470-130	14.4	10.8
700	360	700-360	14.4	10.8
342	35981	342-35981	14.4	10.8
241	14001	241-14001	14.4	10.8
1734	34806	1734-34806	14.4	10.8
872	14526	872-14526	14.4	10.8
450	130	450-130	14.4	10.8
202	8761	202-8761	14.4	10.8
265	26516	265-26516	14.4	10.8
3237	8537	3237-8537	14.4	10.8
18	8717	18-8717	14.4	10.8
2422	35828	2422-35828	14.4	10.8
968	130	968-130	14.4	10.8
188	34806	188-34806	14.4	10.8
16	310	16-310	14.4	10.8
93	309	93-309	14.4	10.8
9146	8516	9146-8516	14.4	10.8
2045	26531	2045-26531	14.4	10.8
700	8543	700-8543	14.4	10.8
188	8608	188-8608	14.4	10.8
122	26516	122-26516	14.4	10.8
837	152	837-152	14.4	10.8
385	14419	385-14419	14.4	10.8
241	34807	241-34807	14.4	10.8
222	8719	222-8719	14.4	10.8
7620	102	7620-102	14.4	10.8
4	35981	4-35981	14.4	10.8
413	35828	413-35828	14.4	10.8
5	36488	5-36488	14.4	10.8
276	14419	276-14419	14.4	10.8
16	8659	16-8659	14.4	10.8
629	190	629-190	14.4	10.8
202	15520	202-15520	14.4	10.8
606	8543	606-8543	14.4	10.8
276	34806	276-34806	14.4	10.8
2378	14001	2378-14001	14.4	10.8
2373	8523	2373-8523	14.4	10.8
122	35721	122-35721	14.4	10.8
5	8442	5-8442	14.4	10.8
556	8537	556-8537	14.4	10.8
10536	460	10536-460	14.4	10.8
463	311	463-311	14.4	10.8
9389	14502	9389-14502	14.4	10.8
837	8546	837-8546	14.4	10.8
740	14419	740-14419	14.4	10.8
158	36488	158-36488	14.4	10.8
606	35721	606-35721	14.4	10.8
783	14379	783-14379	14.4	10.8
16	35828	16-35828	14.4	10.8
722	309	722-309	14.4	10.8
319	37863	319-37863	14.4	10.8
304	34806	304-34806	14.4	10.8
3266	460	3266-460	14.4	10.8
2389	460	2389-460	14.4	10.8
772	8558	772-8558	14.4	10.8
771	8608	771-8608	14.4	10.8
497	34806	497-34806	14.4	10.8
385	8543	385-8543	14.4	10.8
9499	360	9499-360	14.4	10.8
6921	8523	6921-8523	14.4	10.8
3328	460	3328-460	14.4	10.8
18	8692	18-8692	14.4	10.8
9499	8523	9499-8523	14.4	10.8
2378	8717	2378-8717	14.4	10.8
541	8746	541-8746	14.4	10.8
531	199	531-199	14.4	10.8
93	35721	93-35721	14.4	10.8
172	37861	172-37861	14.4	10.8
394	36008	394-36008	14.4	10.8
7620	360	7620-360	14.4	10.8
9409	8543	9409-8543	14.4	10.8
7303	14502	7303-14502	14.4	10.8
147	36008	147-36008	14.4	10.8
122	8546	122-8546	14.4	10.8
5709	460	5709-460	14.4	10.8
505	207	505-207	14.4	10.8
1078	26531	1078-26531	14.4	10.8
858	8735	858-8735	14.4	10.8
740	26516	740-26516	14.4	10.8
772	350	772-350	14.4	10.8
12291	14526	12291-14526	14.4	10.8
783	8735	783-8735	14.4	10.8
751	8735	751-8735	14.4	10.8
2047	207	2047-207	14.4	10.8
276	360	276-360	14.4	10.8
722	207	722-207	14.4	10.8
858	14379	858-14379	14.4	10.8
37	8546	37-8546	14.4	10.8
8854	8543	8854-8543	14.4	10.8
2045	8735	2045-8735	14.4	10.8
135	186	135-186	14.4	10.8
652	130	652-130	14.4	10.8
10461	8523	10461-8523	14.4	10.8
304	36011	304-36011	14.4	10.8
241	36008	241-36008	14.4	10.8
6770	360	6770-360	14.4	10.8
5756	14502	5756-14502	14.4	10.8
10513	360	10513-360	14.4	10.8
319	145	319-145	14.4	10.8
16	8735	16-8735	14.4	10.8
9409	8735	9409-8735	14.4	10.8
463	186	463-186	14.4	10.8
858	35721	858-35721	14.4	10.8
2247	207	2247-207	14.4	10.8
37	37981	37-37981	14.4	10.8
1039	8543	1039-8543	14.4	10.8
502	460	502-460	14.4	10.8
2363	207	2363-207	14.4	10.8
1057	8546	1057-8546	14.4	10.8
16	8493	16-8493	14.4	10.8
2302	310	2302-310	14.4	10.8
12804	8516	12804-8516	14.4	10.8
2323	8543	2323-8543	14.4	10.8
2284	8523	2284-8523	14.4	10.8
2346	8523	2346-8523	14.4	10.8
1029	310	1029-310	14.4	10.8
3251	360	3251-360	14.4	10.8
2248	360	2248-360	14.4	10.8
2337	460	2337-460	14.4	10.8
536	8523	536-8523	14.4	10.8
9357	8516	9357-8516	14.4	10.8
2038	460	2038-460	14.4	10.8
10304	207	10304-207	14.4	10.8
8694	8543	8694-8543	14.4	10.8
357	360	357-360	14.4	10.8
7468	311	7468-311	14.4	10.8
222	35984	222-35984	14.4	10.8
13951	8516	13951-8516	14.4	10.8
9481	8523	9481-8523	14.4	10.8
355	34806	355-34806	14.4	10.8
772	26531	772-26531	14.4	10.8
6793	360	6793-360	14.4	10.8
10506	460	10506-460	14.4	10.8
2360	207	2360-207	14.4	10.8
375	8558	375-8558	14.4	10.8
771	8537	771-8537	14.4	10.8
2389	360	2389-360	14.4	10.8
2048	310	2048-310	14.4	10.8
772	26518	772-26518	14.4	10.8
3251	8543	3251-8543	14.4	10.8
2041	360	2041-360	14.4	10.8
2032	190	2032-190	14.4	10.8
728	8543	728-8543	14.4	10.8
355	8523	355-8523	14.4	10.8
2429	310	2429-310	14.4	10.8
637	360	637-360	14.4	10.8
6700	8523	6700-8523	14.4	10.8
16	14526	16-14526	14.4	10.8
505	14379	505-14379	14.4	10.8
424	199	424-199	14.4	10.8
2043	190	2043-190	14.4	10.8
291	133	291-133	14.4	10.8
2302	8523	2302-8523	14.4	10.8
1734	460	1734-460	14.4	10.8
2192	460	2192-460	14.4	10.8
771	14502	771-14502	14.4	10.8
414	14539	414-14539	14.4	10.8
5653	130	5653-130	14.4	10.8
9646	8546	9646-8546	14.4	10.8
385	8537	385-8537	14.4	10.8
783	34806	783-34806	14.4	10.8
3479	37863	3479-37863	14.4	10.8
13951	8523	13951-8523	14.4	10.8
3177	207	3177-207	14.4	10.8
9444	14286	9444-14286	14.4	10.8
518	190	518-190	14.4	10.8
7133	207	7133-207	14.4	10.8
10260	8516	10260-8516	14.4	10.8
5942	8516	5942-8516	14.4	10.8
483	186	483-186	14.4	10.8
686	199	686-199	14.4	10.8
536	8735	536-8735	14.4	10.8
2422	8493	2422-8493	14.4	10.8
2315	8523	2315-8523	14.4	10.8
9472	8558	9472-8558	14.4	10.8
424	35828	424-35828	14.4	10.8
1016	309	1016-309	14.4	10.8
531	309	531-309	14.4	10.8
541	314	541-314	14.4	10.8
7453	35984	7453-35984	14.4	10.8
1086	199	1086-199	14.4	10.8
669	8546	669-8546	14.4	10.8
2422	8543	2422-8543	14.4	10.8
5722	14502	5722-14502	14.4	10.8
355	8558	355-8558	14.4	10.8
8716	14286	8716-14286	14.4	10.8
910	8608	910-8608	14.4	10.8
147	37861	147-37861	14.4	10.8
330	34806	330-34806	14.4	10.8
2055	8546	2055-8546	14.4	10.8
414	36008	414-36008	14.4	10.8
10492	8516	10492-8516	14.4	10.8
10564	8523	10564-8523	14.4	10.8
403	35828	403-35828	14.4	10.8
2422	207	2422-207	14.4	10.8
455	8558	455-8558	14.4	10.8
2044	8543	2044-8543	14.4	10.8
8601	460	8601-460	14.4	10.8
993	8543	993-8543	14.4	10.8
2047	8516	2047-8516	14.4	10.8
801	8558	801-8558	14.4	10.8
355	207	355-207	14.4	10.8
882	207	882-207	14.4	10.8
10461	203	10461-203	14.4	10.8
984	35984	984-35984	14.4	10.8
9357	14526	9357-14526	14.4	10.8
686	34806	686-34806	14.4	10.8
2	38116	2-38116	14.4	10.8
2	37861	2-37861	14.4	10.8
2054	8543	2054-8543	14.4	10.8
2372	26516	2372-26516	14.4	10.8
355	14286	355-14286	14.4	10.8
2328	130	2328-130	14.4	10.8
18	37981	18-37981	14.4	10.8
961	8558	961-8558	14.4	10.8
629	102	629-102	14.4	10.8
12291	207	12291-207	14.4	10.8
801	26516	801-26516	14.4	10.8
629	8543	629-8543	14.4	10.8
771	8445	771-8445	14.4	10.8
10097	8537	10097-8537	14.4	10.8
1057	14379	1057-14379	14.4	10.8
10448	460	10448-460	14.4	10.8
2055	360	2055-360	14.4	10.8
471	35828	471-35828	14.4	10.8
367	8558	367-8558	14.4	10.8
669	309	669-309	14.4	10.8
13951	14526	13951-14526	14.4	10.8
385	8546	385-8546	14.4	10.8
265	14255	265-14255	14.4	10.8
693	14526	693-14526	14.4	10.8
2053	14379	2053-14379	14.4	10.8
102	37861	102-37861	14.4	10.8
740	186	740-186	14.4	10.8
222	24056	222-24056	14.4	10.8
2392	207	2392-207	14.4	10.8
901	8735	901-8735	14.4	10.8
7620	8558	7620-8558	14.4	10.8
1	38118	1-38118	14.4	10.8
541	8546	541-8546	14.4	10.8
408	8735	408-8735	14.4	10.8
722	14526	722-14526	14.4	10.8
2248	8523	2248-8523	14.4	10.8
2039	360	2039-360	14.4	10.8
518	8546	518-8546	14.4	10.8
2393	8442	2393-8442	14.4	10.8
2395	8523	2395-8523	14.4	10.8
3163	8543	3163-8543	14.4	10.8
728	8558	728-8558	14.4	10.8
147	14001	147-14001	14.4	10.8
9749	8523	9749-8523	14.4	10.8
12804	186	12804-186	14.4	10.8
8854	8445	8854-8445	14.4	10.8
3266	8537	3266-8537	14.4	10.8
8854	460	8854-460	14.4	10.8
407	460	407-460	14.4	10.8
2398	8516	2398-8516	14.4	10.8
222	171	222-171	14.4	10.8
12804	8493	12804-8493	14.4	10.8
613	190	613-190	14.4	10.8
6921	460	6921-460	14.4	10.8
751	130	751-130	14.4	10.8
801	8543	801-8543	14.4	10.8
2372	14502	2372-14502	14.4	10.8
222	37863	222-37863	14.4	10.8
961	8543	961-8543	14.4	10.8
6803	8558	6803-8558	14.4	10.8
2372	26531	2372-26531	14.4	10.8
1734	360	1734-360	14.4	10.8
424	309	424-309	14.4	10.8
6770	8516	6770-8516	14.4	10.8
637	34806	637-34806	14.4	10.8
1	38116	1-38116	14.4	10.8
471	8546	471-8546	14.4	10.8
2350	8546	2350-8546	14.4	10.8
7133	8543	7133-8543	14.4	10.8
369	130	369-130	14.4	10.8
2054	8558	2054-8558	14.4	10.8
5756	111	5756-111	14.4	10.8
2395	460	2395-460	14.4	10.8
102	186	102-186	14.4	10.8
3470	360	3470-360	14.4	10.8
5633	360	5633-360	14.4	10.8
637	35721	637-35721	14.4	10.8
592	8516	592-8516	14.4	10.8
8854	190	8854-190	14.4	10.8
1029	460	1029-460	14.4	10.8
10506	8543	10506-8543	14.4	10.8
355	36008	355-36008	14.4	10.8
12291	14419	12291-14419	14.4	10.8
728	8516	728-8516	14.4	10.8
2328	360	2328-360	14.4	10.8
541	34807	541-34807	14.4	10.8
362	14379	362-14379	14.4	10.8
914	14379	914-14379	14.4	10.8
2053	37861	2053-37861	14.4	10.8
228	8546	228-8546	14.4	10.8
408	8558	408-8558	14.4	10.8
7453	14419	7453-14419	14.4	10.8
10467	460	10467-460	14.4	10.8
394	311	394-311	14.4	10.8
2363	14379	2363-14379	14.4	10.8
102	8692	102-8692	14.4	10.8
944	8558	944-8558	14.4	10.8
13951	130	13951-130	14.4	10.8
2054	309	2054-309	14.4	10.8
265	8719	265-8719	14.4	10.8
592	130	592-130	14.4	10.8
9736	8543	9736-8543	14.4	10.8
541	186	541-186	14.4	10.8
531	14502	531-14502	14.4	10.8
3350	190	3350-190	14.4	10.8
16	8445	16-8445	14.4	10.8
637	309	637-309	14.4	10.8
1	41588	1-41588	14.4	10.8
122	186	122-186	14.4	10.8
1734	8516	1734-8516	14.4	10.8
7154	360	7154-360	14.4	10.8
821	36008	821-36008	14.4	10.8
471	190	471-190	14.4	10.8
10039	8543	10039-8543	14.4	10.8
740	35721	740-35721	14.4	10.8
821	14526	821-14526	14.4	10.8
16	102	16-102	14.4	10.8
2049	8523	2049-8523	14.4	10.8
2047	36008	2047-36008	14.4	10.8
18	8761	18-8761	14.4	10.8
8716	207	8716-207	14.4	10.8
5669	37981	5669-37981	14.4	10.8
10291	310	10291-310	14.4	10.8
2284	8516	2284-8516	14.4	10.8
16	14354	16-14354	14.4	10.8
37	37863	37-37863	14.4	10.8
2047	360	2047-360	14.4	10.8
222	35721	222-35721	14.4	10.8
342	8546	342-8546	14.4	10.8
993	460	993-460	14.4	10.8
791	8516	791-8516	14.4	10.8
9481	360	9481-360	14.4	10.8
10434	460	10434-460	14.4	10.8
2360	8516	2360-8516	14.4	10.8
3	37864	3-37864	14.4	10.8
375	14502	375-14502	14.4	10.8
12291	8546	12291-8546	14.4	10.8
776	14526	776-14526	14.4	10.8
202	37863	202-37863	14.4	10.8
500	8493	500-8493	14.4	10.8
342	34807	342-34807	14.4	10.8
11226	310	11226-310	14.4	10.8
13951	34806	13951-34806	14.4	10.8
413	34807	413-34807	14.4	10.8
408	310	408-310	14.4	10.8
291	35828	291-35828	14.4	10.8
811	311	811-311	14.4	10.8
399	460	399-460	14.4	10.8
342	36011	342-36011	14.4	10.8
413	37866	413-37866	14.4	10.8
2342	460	2342-460	14.4	10.8
751	38116	751-38116	14.4	10.8
3434	310	3434-310	14.4	10.8
13951	360	13951-360	14.4	10.8
696	310	696-310	14.4	10.8
158	36008	158-36008	14.4	10.8
967	460	967-460	14.4	10.8
1057	360	1057-360	14.4	10.8
722	34806	722-34806	14.4	10.8
2397	152	2397-152	14.4	10.8
984	771	984-771	14.4	10.8
2397	8659	2397-8659	14.4	10.8
537	360	537-360	14.4	10.8
2038	14419	2038-14419	14.4	10.8
5733	8546	5733-8546	14.4	10.8
9389	360	9389-360	14.4	10.8
2303	203	2303-203	14.4	10.8
3251	8523	3251-8523	14.4	10.8
3163	130	3163-130	14.4	10.8
413	35984	413-35984	14.4	10.8
710	8523	710-8523	14.4	10.8
836	460	836-460	14.4	10.8
2398	207	2398-207	14.4	10.8
37	186	37-186	14.4	10.8
2350	8543	2350-8543	14.4	10.8
837	186	837-186	14.4	10.8
6760	8735	6760-8735	14.4	10.8
2053	309	2053-309	14.4	10.8
592	199	592-199	14.4	10.8
518	199	518-199	14.4	10.8
5722	14255	5722-14255	14.4	10.8
952	14526	952-14526	14.4	10.8
831	360	831-360	14.4	10.8
79	35984	79-35984	14.4	10.8
135	41588	135-41588	14.4	10.8
537	8516	537-8516	14.4	10.8
9854	14379	9854-14379	14.4	10.8
910	37863	910-37863	14.4	10.8
629	37863	629-37863	14.4	10.8
772	8855	772-8855	14.4	10.8
172	14379	172-14379	14.4	10.8
2397	14286	2397-14286	14.4	10.8
518	36488	518-36488	14.4	10.8
606	37861	606-37861	14.4	10.8
9617	34806	9617-34806	14.4	10.8
2394	14286	2394-14286	14.4	10.8
375	8717	375-8717	14.4	10.8
2049	360	2049-360	14.4	10.8
135	133	135-133	14.4	10.8
2015	37861	2015-37861	14.4	10.8
1	37861	1-37861	14.4	10.8
1039	36008	1039-36008	14.4	10.8
2363	8543	2363-8543	14.4	10.8
518	15520	518-15520	14.4	10.8
1	37865	1-37865	14.4	10.8
409	360	409-360	14.4	10.8
102	8546	102-8546	14.4	10.8
523	207	523-207	14.4	10.8
1057	8543	1057-8543	14.4	10.8
7620	460	7620-460	14.4	10.8
304	35828	304-35828	14.4	10.8
222	8546	222-8546	14.4	10.8
7468	8523	7468-8523	14.4	10.8
740	8608	740-8608	14.4	10.8
2044	460	2044-460	14.4	10.8
9481	130	9481-130	14.4	10.8
831	8523	831-8523	14.4	10.8
5722	8537	5722-8537	14.4	10.8
914	8543	914-8543	14.4	10.8
3439	310	3439-310	14.4	10.8
1067	360	1067-360	14.4	10.8
722	133	722-133	14.4	10.8
291	309	291-309	14.4	10.8
9530	8523	9530-8523	14.4	10.8
12291	15520	12291-15520	14.4	10.8
2429	8546	2429-8546	14.4	10.8
977	311	977-311	14.4	10.8
9551	460	9551-460	14.4	10.8
375	37863	375-37863	14.4	10.8
700	36008	700-36008	14.4	10.8
8694	8608	8694-8608	14.4	10.8
342	37863	342-37863	14.4	10.8
8854	8735	8854-8735	14.4	10.8
330	8445	330-8445	14.4	10.8
362	36488	362-36488	14.4	10.8
5632	14502	5632-14502	14.4	10.8
394	130	394-130	14.4	10.8
3177	8546	3177-8546	14.4	10.8
16	14419	16-14419	14.4	10.8
2378	460	2378-460	14.4	10.8
5898	460	5898-460	14.4	10.8
450	360	450-360	14.4	10.8
9687	14286	9687-14286	14.4	10.8
652	14419	652-14419	14.4	10.8
2052	14502	2052-14502	14.4	10.8
10198	8543	10198-8543	14.4	10.8
5928	8558	5928-8558	14.4	10.8
10394	14354	10394-14354	14.4	10.8
592	8608	592-8608	14.4	10.8
413	41588	413-41588	14.4	10.8
740	36008	740-36008	14.4	10.8
2378	14502	2378-14502	14.4	10.8
394	8537	394-8537	14.4	10.8
2392	360	2392-360	14.4	10.8
2302	8558	2302-8558	14.4	10.8
7303	309	7303-309	14.4	10.8
537	29389	537-29389	14.4	10.8
2045	8523	2045-8523	14.4	10.8
102	37981	102-37981	14.4	10.8
7303	8735	7303-8735	14.4	10.8
2054	26531	2054-26531	14.4	10.8
158	34807	158-34807	14.4	10.8
2044	8516	2044-8516	14.4	10.8
2325	8493	2325-8493	14.4	10.8
1734	8523	1734-8523	14.4	10.8
740	8444	740-8444	14.4	10.8
355	8445	355-8445	14.4	10.8
6964	190	6964-190	14.4	10.8
413	37863	413-37863	14.4	10.8
637	130	637-130	14.4	10.8
531	35828	531-35828	14.4	10.8
93	35828	93-35828	14.4	10.8
531	130	531-130	14.4	10.8
304	35721	304-35721	14.4	10.8
710	133	710-133	14.4	10.8
872	460	872-460	14.4	10.8
541	8752	541-8752	14.4	10.8
531	207	531-207	14.4	10.8
7453	199	7453-199	14.4	10.8
5722	15520	5722-15520	14.4	10.8
4	38118	4-38118	14.4	10.8
523	360	523-360	14.4	10.8
10492	460	10492-460	14.4	10.8
375	130	375-130	14.4	10.8
2378	8537	2378-8537	14.4	10.8
2354	8543	2354-8543	14.4	10.8
728	460	728-460	14.4	10.8
872	190	872-190	14.4	10.8
3489	8735	3489-8735	14.4	10.8
2052	14419	2052-14419	14.4	10.8
355	460	355-460	14.4	10.8
394	14379	394-14379	14.4	10.8
2392	14286	2392-14286	14.4	10.8
4	38115	4-38115	14.4	10.8
16	8558	16-8558	14.4	10.8
811	14255	811-14255	14.4	10.8
10448	14286	10448-14286	14.4	10.8
740	14363	740-14363	14.4	10.8
2037	8543	2037-8543	14.4	10.8
79	41588	79-41588	14.4	10.8
