sloc1	scate2	platform	cost	dispcnt	jz_cpm
9499	168	m	15.49	12	1290.8333333333333
9499	212	m	29.46	13	2266.153846153846
9517	310	m	1.8	2	900.0
952	710	m	1.8	2	900.0
952	97	m	1.8	2	900.0
961	125	m	105.05	109	963.7614678899082
961	8543	m	7.3	5	1460.0
968	360	app	34.43	12	2869.1666666666665
9709	128	m	1.8	2	900.0
9736	203	pc	1.9	2	950.0
9799	190	app	2.91	2	1455.0
1	22431	app	2902.67	471	6162.781316348195
1	8516	app	24643.37	2326	10594.742046431642
1005	186	pc	1.66	1	1660.0
10134	130	pc	1.6	1	1600.0
102	196	pc	1587.18	147	10797.142857142857
102	23087	pc	1035.03	130	7961.7692307692305
10417	26523	m	1.32	1	1320.0
10536	125	pc	10.2	9	1133.3333333333333
1057	156	app	231.75	143	1620.6293706293707
1057	8558	m	7.83	9	870.0
1078	15520	m	1.22	1	1220.0
1086	8608	app	1.0	1	1000.0
1096	35694	pc	10.0	9	1111.111111111111
1096	36011	app	0.9	1	900.0
122	190	m	421.01	122	3450.901639344262
12291	156	app	561.45	145	3872.0689655172414
12291	8558	m	3.67	3	1223.3333333333333
12804	35691	app	0.9	1	900.0
135	8608	pc	3.7	4	925.0
147	102	m	825.19	136	6067.573529411765
172	15520	pc	15.11	13	1162.3076923076924
172	36008	app	44.54	20	2227.0
18	26521	app	1.8	2	900.0
18	37981	m	59.28	35	1693.7142857142858
2	14363	pc	13.5	15	900.0
2	199	m	49.16	14	3511.4285714285716
2015	199	m	18.88	14	1348.5714285714287
2043	125	m	13.39	9	1487.7777777777778
2045	8523	m	264.29	84	3146.309523809524
2046	35694	m	18.42	13	1416.923076923077
2048	96	pc	54.75	27	2027.7777777777778
2049	14526	pc	27.23	12	2269.1666666666665
2052	95	app	1337.71	368	3635.0815217391305
2053	203	app	2533.24	341	7428.856304985337
2192	8735	app	1.15	1	1150.0
222	199	m	7.37	6	1228.3333333333333
2247	156	m	127.14	103	1234.368932038835
2248	609	pc	29.29	17	1722.9411764705883
228	26531	m	4.0	3	1333.3333333333333
228	8735	app	56.81	23	2470.0
2303	96	app	242.91	78	3114.230769230769
2307	609	m	38.67	33	1171.8181818181818
2325	311	m	1.0	1	1000.0
2347	186	pc	1.0	1	1000.0
2354	8735	app	5.4	6	900.0
2373	460	app	12.6	14	900.0
2380	14379	app	7.2	7	1028.5714285714287
2380	41588	m	5.0	2	2500.0
2394	234	m	4.0	1	4000.0
241	710	m	121.12	62	1953.5483870967741
241	97	m	1.0	1	1000.0
265	14379	app	5.76	4	1440.0
291	14286	pc	6.38	6	1063.3333333333333
293	609	pc	2.7	3	900.0
296	611	m	1.8	2	900.0
304	314	m	39.47	27	1461.851851851852
3177	111	pc	5.4	6	900.0
3177	36011	m	0.9	1	900.0
3184	203	pc	49.46	22	2248.181818181818
3237	196	pc	2.71	2	1355.0
3251	26523	m	6.2	2	3100.0
3251	36012	pc	0.9	1	900.0
3434	96	pc	25.64	20	1282.0
3479	35691	app	13.92	9	1546.6666666666667
355	35691	app	2.89	3	963.3333333333334
355	8523	pc	200.77	24	8365.416666666666
367	35694	pc	1.0	1	1000.0
385	133	app	15.0	10	1500.0
394	360	m	217.73	40	5443.25
399	310	m	21.99	10	2199.0
399	611	pc	10.49	4	2622.5
4	8609	pc	77.73	58	1340.1724137931035
403	710	m	5.4	6	900.0
403	97	m	1.9	2	950.0
407	26523	m	1.62	1	1620.0
408	14000	app	4.54	5	908.0
413	34806	m	62.81	25	2512.4
414	8523	m	6951.63	1019	6822.011776251226
424	26531	app	2.0	2	1000.0
450	196	m	28.44	9	3160.0
455	609	pc	20.32	7	2902.8571428571427
468	8735	pc	1.8	2	900.0
469	8558	app	3.4	1	3400.0
483	8608	m	637.55	94	6782.446808510638
497	360	pc	87.4	23	3800.0
497	36488	m	0.9	1	900.0
497	8445	pc	1.0	1	1000.0
5	190	pc	821.97	99	8302.727272727272
5	95	m	3544.62	1604	2209.862842892768
502	611	m	1.81	2	905.0
520	8516	m	12.71	5	2542.0
523	207	pc	6.0	5	1200.0
531	460	pc	50.83	15	3388.6666666666665
5333	14000	m	106.01	21	5048.0952380952385
5334	8493	m	0.91	1	910.0
541	360	pc	399.32	67	5960.0
541	36488	m	2.22	2	1110.0
541	8445	pc	90.18	28	3220.714285714286
556	360	m	34.9	26	1342.3076923076924
5632	15520	m	3.43	3	1143.3333333333333
5669	360	app	5.1	5	1020.0
5709	8608	pc	1.41	1	1410.0
572	168	pc	392.28	85	4615.058823529412
572	207	app	2.93	3	976.6666666666666
5756	35691	app	1.48	1	1480.0
5853	14502	pc	2.7	3	900.0
5898	36488	m	1.38	1	1380.0
5959	14455	app	1.38	1	1380.0
623	130	m	7.61	5	1522.0
623	8516	pc	144.55	39	3706.4102564102564
629	14502	m	1.0	1	1000.0
648	14000	pc	12.48	1	12480.0
6700	125	pc	89.18	22	4053.6363636363635
6718	111	app	12.99	15	866.0
6718	234	pc	4.0	4	1000.0
6718	35694	m	0.9	1	900.0
6729	8537	app	2.0	2	1000.0
6745	14286	pc	3.97	4	992.5
6752	35694	app	9.03	5	1806.0
679	8735	app	2.7	3	900.0
6793	14502	app	1.0	1	1000.0
6964	95	pc	88.43	43	2056.5116279069766
697	14000	app	1.0	1	1000.0
698	460	app	1.99	2	995.0
710	609	app	104.41	35	2983.1428571428573
7133	111	m	40.32	38	1061.0526315789473
7154	190	m	4.01	1	4010.0
725	8537	m	2.5	2	1250.0
728	8523	app	94.26	50	1885.2
7289	360	app	2.21	1	2210.0
740	152	pc	5.42	3	1806.6666666666667
740	26523	m	1116.68	326	3425.398773006135
740	309	app	80.77	24	3365.4166666666665
740	314	pc	13.09	7	1870.0
7453	95	app	60.7	66	919.6969696969697
7468	190	app	24.79	10	2479.0
776	199	pc	1.0	1	1000.0
783	168	app	520.34	147	3539.7278911564626
783	212	app	19.83	8	2478.75
79	14000	pc	811.73	66	12298.939393939394
801	310	app	172.15	83	2074.0963855421687
801	35691	pc	0.9	1	900.0
811	37863	app	1.0	1	1000.0
821	14526	m	5.44	5	1088.0
831	128	app	0.9	1	900.0
837	8609	pc	7.0	7	1000.0
8398	14000	pc	5.76	1	5760.0
8481	95	m	15.92	14	1137.142857142857
858	26523	m	4.97	5	994.0
858	309	app	3.6	4	900.0
8694	14326	pc	4.11	4	1027.5
8716	168	m	0.9	1	900.0
8716	212	m	13.95	7	1992.857142857143
872	95	app	355.0	140	2535.714285714286
8854	8442	pc	1.0	1	1000.0
891	14455	app	228.54	50	4570.8
8973	97	app	2.0	2	1000.0
901	14455	m	19.73	11	1793.6363636363637
910	111	app	104.38	35	2982.285714285714
910	234	pc	80.61	32	2519.0625
914	360	app	17.37	8	2171.25
9146	212	app	1.59	1	1590.0
927	186	app	1.0	1	1000.0
927	96	m	68.33	74	923.3783783783783
93	203	pc	2054.0	251	8183.266932270916
9422	130	pc	1.0	1	1000.0
9517	360	pc	1.0	1	1000.0
9530	8516	app	50.38	34	1481.764705882353
961	96	app	365.33	108	3382.685185185185
967	34806	pc	0.91	1	910.0
968	35691	app	16.87	11	1533.6363636363637
968	8523	pc	108.23	21	5153.809523809524
9704	133	m	6.98	1	6980.0
9704	14455	m	32.11	15	2140.6666666666665
9704	311	app	0.9	1	900.0
9799	14000	m	93.28	55	1696.0
9993	14455	m	1.72	2	860.0
1	37861	m	17.72	19	932.6315789473684
1005	14502	app	3.9	3	1300.0
10097	14455	pc	2.8	3	933.3333333333334
10134	14363	pc	0.9	1	900.0
10134	203	pc	1.92	2	960.0
10260	609	pc	4.8	3	1600.0
1029	95	m	17.75	11	1613.6363636363637
10362	156	pc	0.9	1	900.0
10362	23087	m	1.0	1	1000.0
1039	14000	app	109.93	37	2971.0810810810813
10417	168	app	20.7	23	900.0
10417	212	app	14.25	6	2375.0
10461	14379	pc	2.7	3	900.0
10506	95	app	71.92	55	1307.6363636363637
10524	156	pc	0.9	1	900.0
10524	23087	m	5.4	6	900.0
1057	111	app	87.82	25	3512.8
1057	234	pc	11.82	9	1313.3333333333333
1057	35694	m	24.13	14	1723.5714285714287
1078	8442	pc	5.4	6	900.0
1096	156	m	41.21	32	1287.8125
11226	125	m	5.9	1	5900.0
122	35984	pc	69.89	30	2329.6666666666665
12291	111	app	200.36	47	4262.978723404255
12291	234	pc	23.42	11	2129.090909090909
12291	35694	m	4.21	5	842.0
12804	14286	pc	4.86	1	4860.0
135	311	app	60.85	21	2897.6190476190477
147	152	pc	0.9	1	900.0
147	26523	m	567.52	210	2702.4761904761904
147	309	app	14.78	10	1478.0
147	314	pc	18.9	8	2362.5
18	14354	app	70.06	47	1490.6382978723404
18	207	pc	1053.17	157	6708.089171974522
2015	14326	pc	97.38	32	3043.125
2032	609	pc	17.0	14	1214.2857142857142
2039	35691	app	5.36	5	1072.0
2043	96	app	395.04	57	6930.526315789473
2045	8735	pc	10.26	9	1140.0
2047	609	m	66.58	35	1902.2857142857142
2048	125	pc	7.5	7	1071.4285714285713
2048	8543	pc	2.5	1	2500.0
2052	14000	pc	20.41	9	2267.777777777778
2053	8493	pc	23.97	11	2179.090909090909
2053	8516	m	613.21	108	5677.87037037037
2247	111	m	65.71	35	1877.4285714285713
228	14526	m	68.22	18	3790.0
2296	234	m	0.93	1	930.0
2303	125	app	13.69	10	1369.0
2303	130	pc	10.42	7	1488.5714285714287
2307	22431	pc	0.9	1	900.0
2315	8546	pc	1.1	1	1100.0
2325	35828	app	0.9	1	900.0
2342	96	m	1298.33	367	3537.683923705722
2347	14502	app	3.8	3	1266.6666666666667
2360	168	app	10.8	12	900.0
2360	212	app	1.0	1	1000.0
2363	14326	m	46.13	43	1072.7906976744187
2364	128	app	0.9	1	900.0
2364	14455	pc	2.91	3	970.0
2364	8546	app	3.59	1	3590.0
2372	35691	app	2.8	2	1400.0
2372	710	pc	2.7	2	1350.0
2372	97	pc	2.22	2	1110.0
2381	125	pc	12.22	10	1222.0
2381	8543	pc	2.0	2	1000.0
2398	8523	m	347.96	49	7101.224489795918
2422	35136	app	37.0	9	4111.111111111111
2429	168	pc	190.24	30	6341.333333333333
2429	207	app	18.2	12	1516.6666666666667
2429	212	pc	8.69	7	1241.4285714285713
276	199	app	12.23	7	1747.142857142857
293	196	pc	1.0	1	1000.0
296	360	m	3.0	1	3000.0
297	156	pc	15.8	16	987.5
3177	23087	app	1.0	1	1000.0
3177	8558	pc	1.9	2	950.0
319	96	pc	7103.32	443	16034.582392776523
3209	130	m	7.31	5	1462.0
3251	168	app	107.84	64	1685.0
3251	212	app	10.04	10	1004.0
330	310	pc	113.44	54	2100.740740740741
330	460	m	563.3	74	7612.1621621621625
3328	460	app	126.93	39	3254.6153846153848
342	14455	app	769.86	258	2983.953488372093
3434	125	pc	49.71	19	2616.315789473684
3434	8543	pc	4.38	4	1095.0
