sloc1	scate2	platform	cost	dispcnt	jz_cpm
541	128	app	101.69	21	4842.380952380952
541	133	pc	15.41	10	1541.0
541	8546	app	30.68	4	7670.0
556	133	m	17.04	18	946.6666666666666
556	311	app	2.7	3	900.0
5632	96	app	178.3	83	2148.1927710843374
5653	460	pc	0.9	1	900.0
5669	14455	app	7.57	6	1261.6666666666667
5695	190	m	1.8	2	900.0
572	35694	pc	16.99	15	1132.6666666666667
572	8692	pc	2.0	2	1000.0
5722	8445	m	3.6	4	900.0
5722	8746	pc	0.9	1	900.0
5733	35694	app	2.7	3	900.0
5772	8558	m	0.9	1	900.0
5853	8493	app	15.05	9	1672.2222222222222
5898	199	pc	2.7	3	900.0
5936	14502	app	1.0	1	1000.0
606	168	pc	1850.7	238	7776.050420168067
606	207	app	190.02	51	3725.8823529411766
606	212	pc	341.94	52	6575.7692307692305
613	14000	app	1262.08	70	18029.714285714286
629	35691	pc	2.99	3	996.6666666666666
637	186	app	4.01	3	1336.6666666666667
637	96	m	5074.13	914	5551.56455142232
669	14326	m	937.93	567	1654.1975308641975
669	8608	app	5.11	5	1022.0
6700	35691	m	0.9	1	900.0
6760	8523	m	74.99	53	1414.9056603773586
6770	8719	app	3.6	4	900.0
6776	234	m	1.9	2	950.0
6788	130	app	6.93	2	3465.0
700	8442	m	1.9	1	1900.0
7154	125	m	60.21	39	1543.8461538461538
722	35691	app	17.13	9	1903.3333333333333
722	8523	pc	238.99	38	6289.210526315789
7289	14455	app	0.9	1	900.0
7303	8523	pc	5.4	5	1080.0
740	8493	m	251.89	121	2081.7355371900826
7468	125	app	93.42	27	3460.0
7468	8543	app	3.6	4	900.0
751	310	pc	5.0	5	1000.0
751	460	m	220.47	79	2790.759493670886
7576	8516	app	19.01	11	1728.1818181818182
7620	8516	app	104.85	36	2912.5
771	8523	app	786.99	132	5962.045454545455
783	35694	app	54.9	21	2614.285714285714
79	199	pc	137.26	53	2589.811320754717
791	8608	pc	2.0	2	1000.0
7951	111	m	25.92	25	1036.8
821	156	m	300.64	202	1488.3168316831684
837	609	m	8630.73	1208	7144.644039735099
845	14526	app	114.71	44	2607.0454545454545
8481	125	pc	22.91	7	3272.8571428571427
858	8493	m	8.49	7	1212.857142857143
8582	156	m	20.87	21	993.8095238095239
8694	8523	app	223.79	49	4567.142857142857
872	14379	pc	2.0	2	1000.0
882	203	m	956.2	233	4103.862660944206
8854	125	app	155.46	32	4858.125
8854	130	pc	0.91	1	910.0
914	133	app	1.0	1	1000.0
9363	35691	app	5.85	4	1462.5
9409	8735	app	3.0	3	1000.0
9422	710	m	3.5	3	1166.6666666666667
946	130	m	0.96	1	960.0
946	8516	pc	0.9	1	900.0
9517	14455	pc	4.6	2	2300.0
9517	8546	app	6.86	2	3430.0
9617	190	app	2.43	1	2430.0
9656	14000	pc	22.17	3	7390.0
9749	22431	pc	1.8	2	900.0
977	35691	m	1.8	2	900.0
977	611	app	10.8	9	1200.0
9799	203	pc	37.64	17	2214.1176470588234
984	95	pc	753.3	113	6666.371681415929
1	34806	app	318.65	58	5493.9655172413795
10115	14326	pc	1.0	1	1000.0
10120	611	pc	1.0	1	1000.0
10134	14286	m	1.0	1	1000.0
1016	611	m	3.16	2	1580.0
10171	14379	pc	0.9	1	900.0
1029	125	pc	154.83	56	2764.8214285714284
1029	8543	pc	12.54	8	1567.5
10448	14286	app	2.0	2	1000.0
10467	8516	app	2.7	3	900.0
10564	190	app	11.63	7	1661.4285714285713
1067	196	pc	0.9	1	900.0
1078	125	app	1048.57	54	19417.962962962964
1078	130	pc	7.9	6	1316.6666666666667
1078	8543	app	2.38	2	1190.0
1086	168	pc	106.36	34	3128.235294117647
1086	207	app	0.9	1	900.0
1086	212	pc	18.08	10	1808.0
122	96	app	23882.76	950	25139.747368421053
135	14354	app	49.04	24	2043.3333333333333
135	207	pc	128.34	44	2916.818181818182
13951	111	pc	3.0	3	1000.0
147	8493	m	180.54	75	2407.2
158	310	pc	901.08	286	3150.6293706293704
158	460	m	7218.85	2303	3134.54190186713
188	128	pc	889.53	105	8471.714285714286
188	8546	pc	129.43	37	3498.108108108108
2	8523	app	8911.32	749	11897.62349799733
2015	37981	app	6.0	6	1000.0
2015	8523	app	5813.62	335	17354.089552238805
202	310	pc	669.72	172	3893.720930232558
202	460	m	12566.68	1537	8176.109303838647
2044	310	app	25.48	21	1213.3333333333333
2048	35691	m	0.9	1	900.0
2052	186	app	3.86	2	1930.0
2052	96	m	2740.53	311	8811.993569131833
2053	14526	m	126.2	18	7011.111111111111
2054	171	pc	2.01	2	1005.0
2055	156	app	657.65	101	6511.3861386138615
2192	156	m	1.8	2	900.0
222	8523	app	1405.22	155	9065.935483870968
228	156	m	1006.6	326	3087.730061349693
2284	460	m	14.0	14	1000.0
2299	310	m	6.51	6	1085.0
2299	611	pc	34.69	24	1445.4166666666667
2315	111	app	32.94	19	1733.6842105263158
2319	360	app	13.24	5	2648.0
2354	156	m	696.9	202	3450.0
2373	311	pc	0.9	1	900.0
2422	35721	m	3.65	2	1825.0
276	14286	app	23.5	13	1807.6923076923076
276	26531	pc	4.06	3	1353.3333333333333
291	14326	m	144.72	95	1523.3684210526317
296	133	m	1.5	1	1500.0
296	311	app	0.9	1	900.0
3	23442	pc	0.9	1	900.0
3	29389	m	44.97	31	1450.6451612903227
304	14000	pc	492.19	90	5468.777777777777
3163	14000	m	119.24	47	2537.021276595745
3177	26523	app	3.6	4	900.0
319	14000	m	7930.23	1065	7446.225352112676
319	14419	pc	100.61	37	2719.189189189189
319	15520	app	55.08	29	1899.3103448275863
3198	186	m	1.5	1	1500.0
3209	14526	pc	1.0	1	1000.0
3266	14000	pc	12.73	8	1591.25
3350	203	m	93.33	79	1181.392405063291
3359	22431	pc	1.8	2	900.0
342	35984	m	15.77	16	985.625
3434	35691	m	4.51	5	902.0
3489	460	app	47.08	20	2354.0
362	96	pc	3209.46	210	15283.142857142857
37	118	app	7.0	7	1000.0
37	8659	pc	186.49	145	1286.1379310344828
375	234	m	78.75	24	3281.25
394	14326	pc	2.66	2	1330.0
397	36008	app	1.0	1	1000.0
4	196	m	2525.05	336	7515.0297619047615
4	23087	m	6441.37	1254	5136.658692185008
409	128	m	0.82	1	820.0
413	310	app	149.86	83	1805.5421686746988
413	35691	pc	9.7	7	1385.7142857142858
424	156	app	532.61	164	3247.621951219512
424	8558	m	17.35	14	1239.2857142857142
428	611	app	5.1	2	2550.0
450	102	app	32.9	29	1134.4827586206898
469	14455	m	8.96	10	896.0
483	207	m	105.76	29	3646.896551724138
5	186	m	55.62	18	3090.0
502	133	m	2.0	2	1000.0
502	311	app	0.9	1	900.0
505	8493	app	25.88	11	2352.7272727272725
531	26531	app	1.11	1	1110.0
537	234	m	1.51	2	755.0
556	14326	pc	13.99	13	1076.1538461538462
5632	125	app	16.0	14	1142.857142857143
5632	130	pc	12.23	10	1223.0
5632	8543	app	5.4	6	900.0
577	609	m	2.31	1	2310.0
592	309	pc	2.7	3	900.0
5928	460	app	56.99	18	3166.1111111111113
5936	96	pc	36.07	15	2404.6666666666665
606	118	app	3.0	3	1000.0
613	710	pc	11.7	9	1300.0
613	97	pc	1.8	2	900.0
623	34806	pc	0.91	1	910.0
637	125	m	742.32	112	6627.857142857143
637	8543	m	2.0	2	1000.0
652	14000	m	1046.62	178	5879.887640449439
652	15520	app	1.99	2	995.0
6729	14502	app	0.9	1	900.0
6745	14326	m	1.0	1	1000.0
6760	8735	pc	0.9	1	900.0
6776	23065	pc	2.7	3	900.0
6788	14363	app	0.9	1	900.0
6788	203	app	19.31	12	1609.1666666666667
679	156	m	69.7	26	2680.769230769231
6805	14455	m	7.75	3	2583.3333333333335
686	130	m	10.01	7	1430.0
686	22431	pc	2.7	3	900.0
686	8516	pc	193.41	34	5688.529411764706
6921	14526	app	3.31	1	3310.0
698	311	pc	1.12	1	1120.0
710	26523	app	1.8	2	900.0
722	14286	pc	3.09	3	1030.0
722	37863	m	8.46	5	1692.0
728	34323	pc	2.06	2	1030.0
740	148	m	1.0	1	1000.0
740	36008	m	2.0	2	1000.0
740	37861	app	0.9	1	900.0
7453	96	m	2087.69	323	6463.43653250774
7468	203	pc	3.39	2	1695.0
771	14286	app	20.07	15	1338.0
771	26531	pc	9.34	8	1167.5
772	26516	app	2.9	3	966.6666666666666
783	190	pc	18.39	11	1671.8181818181818
783	95	m	186.08	157	1185.2229299363057
7921	8546	pc	10.21	3	3403.3333333333335
7951	8558	m	6.53	4	1632.5
811	14326	app	588.61	150	3924.0666666666666
821	111	m	57.26	30	1908.6666666666667
837	196	m	351.75	80	4396.875
837	23087	m	951.23	361	2634.9861495844875
845	128	pc	220.64	40	5516.0
845	8546	pc	24.65	11	2240.909090909091
8601	8735	m	1.9	2	950.0
872	96	m	340.62	133	2561.0526315789475
8760	14000	app	40.72	8	5090.0
882	130	app	16.48	8	2060.0
8854	203	pc	45.27	12	3772.5
910	35828	app	63.7	14	4550.0
914	8608	m	3.49	2	1745.0
93	710	app	60.67	30	2022.3333333333333
93	97	app	22.14	11	2012.7272727272727
933	14286	app	0.9	1	900.0
9357	8442	pc	1.0	1	1000.0
9363	14286	pc	5.7	5	1140.0
9389	8735	pc	5.65	5	1130.0
946	203	m	0.9	1	900.0
9617	14000	m	323.49	79	4094.8101265822784
967	460	app	20.81	14	1486.4285714285713
9706	130	m	0.89	1	890.0
9706	8516	pc	0.9	1	900.0
9709	234	app	6.31	2	3155.0
9749	8537	pc	1.45	1	1450.0
977	360	app	4.42	3	1473.3333333333333
977	8445	app	0.9	1	900.0
9811	14455	m	56.53	26	2174.230769230769
984	35694	m	487.7	55	8867.272727272728
984	8537	app	3.6	4	900.0
984	8692	m	0.9	1	900.0
1	14502	app	459.73	140	3283.785714285714
1	8761	m	7.48	3	2493.3333333333335
10015	190	app	2.7	3	900.0
10070	14286	app	0.9	1	900.0
10106	8735	m	0.9	1	900.0
10120	360	pc	3.56	3	1186.6666666666667
1016	360	m	19.23	15	1282.0
102	309	m	464.96	67	6939.701492537313
10266	8493	app	2.08	2	1040.0
10285	96	pc	78.98	24	3290.8333333333335
10362	168	app	1.0	1	1000.0
1039	130	m	7.77	6	1295.0
1039	8516	pc	151.62	22	6891.818181818182
10417	190	pc	1.0	1	1000.0
10454	8719	app	1.8	2	900.0
10461	14419	m	1.23	1	1230.0
10506	96	m	223.76	49	4566.530612244898
10524	212	app	12.42	6	2070.0
10536	710	pc	1.0	1	1000.0
10564	14000	m	94.89	34	2790.8823529411766
1078	203	pc	589.33	68	8666.617647058823
1086	26523	pc	3.0	3	1000.0
122	125	app	4334.25	141	30739.36170212766
122	130	pc	627.43	130	4826.384615384615
122	14379	m	54.52	18	3028.8888888888887
122	8543	app	598.68	64	9354.375
12804	14326	m	38.33	5	7666.0
13950	360	app	2.72	1	2720.0
13951	8558	pc	2.81	3	936.6666666666666
147	36008	m	16.6	15	1106.6666666666667
158	36488	pc	40.09	32	1252.8125
16	8523	m	651.34	55	11842.545454545454
172	199	pc	89.5	39	2294.871794871795
1734	95	pc	81.45	25	3258.0
2	14286	app	459.82	100	4598.2
2	171	m	155.97	83	1879.1566265060242
2	26531	pc	459.07	102	4500.686274509804
2	8719	pc	185.39	181	1024.254143646409
202	36488	pc	6.38	5	1276.0
2037	14000	app	163.56	29	5640.0
2038	8493	app	0.91	1	910.0
2040	35694	pc	3.03	2	1515.0
2049	460	app	248.0	52	4769.2307692307695
2052	125	m	829.13	90	9212.555555555555
2052	8543	m	34.16	5	6832.0
2053	26531	app	17.7	5	3540.0
2054	8523	m	826.2	177	4667.796610169492
2055	111	app	14.6	12	1216.6666666666667
2055	234	pc	0.9	1	900.0
2055	35694	m	10.23	5	2046.0
222	14286	app	12.67	13	974.6153846153846
222	171	m	1.0	1	1000.0
222	26531	pc	35.88	20	1794.0
228	111	m	159.99	59	2711.6949152542375
2299	360	pc	2.0	2	1000.0
2302	14502	m	9.55	5	1910.0
2303	14286	m	1.8	2	900.0
2307	34806	pc	2.09	2	1045.0
2315	8558	app	1.0	1	1000.0
2319	8523	pc	16.44	6	2740.0
2329	8735	m	0.9	1	900.0
2337	8493	m	5.87	3	1956.6666666666667
2350	609	app	256.49	30	8549.666666666666
2354	111	m	64.92	40	1623.0
2360	190	pc	1.0	1	1000.0
2360	95	m	12.32	9	1368.888888888889
2363	8735	app	2.7	3	900.0
2378	8546	pc	1.11	1	1110.0
2380	314	pc	1.0	1	1000.0
2389	168	m	164.23	66	2488.3333333333335
2389	212	m	19.47	13	1497.6923076923076
2393	23087	app	9.0	9	1000.0
2422	128	pc	11.33	4	2832.5
296	14326	pc	1.0	1	1000.0
297	168	app	384.93	59	6524.237288135593
297	212	app	64.74	15	4316.0
3	26516	app	108.0	68	1588.235294117647
3157	234	app	4.5	5	900.0
3184	14286	app	1.0	1	1000.0
3251	190	pc	2.7	2	1350.0
3328	128	m	6.52	7	931.4285714285714
3328	311	pc	1.0	1	1000.0
3359	609	app	8.64	9	960.0
342	8442	m	18.88	15	1258.6666666666667
3445	360	app	1.0	1	1000.0
3479	14326	m	6.02	3	2006.6666666666667
355	14326	m	53.77	35	1536.2857142857142
362	125	pc	778.49	64	12163.90625
362	8543	pc	27.18	11	2470.909090909091
4	609	app	13681.27	587	23307.10391822828
4	8537	pc	160.9	101	1593.069306930693
413	36488	app	0.9	1	900.0
414	35136	app	10.56	7	1508.5714285714287
424	111	app	172.49	63	2737.936507936508
424	234	pc	39.94	16	2496.25
428	360	app	1.55	1	1550.0
450	26523	app	2.0	2	1000.0
463	156	m	1230.97	235	5238.170212765957
463	26516	pc	0.9	1	900.0
463	8752	app	3.6	4	900.0
483	118	m	3.5	3	1166.6666666666667
483	35721	pc	123.26	35	3521.714285714286
497	311	m	4.7	3	1566.6666666666667
5	14379	pc	140.88	65	2167.3846153846152
5	8855	app	0.9	1	900.0
505	15520	pc	2.22	2	1110.0
518	14455	pc	31.23	18	1735.0
523	609	m	240.39	111	2165.675675675676
531	14526	app	1.0	1	1000.0
541	311	m	234.64	47	4992.340425531915
556	133	app	18.0	18	1000.0
5632	203	pc	39.19	24	1632.9166666666667
5695	190	app	1.8	2	900.0
572	8537	m	6.21	4	1552.5
5722	360	app	4.3	1	4300.0
5722	8445	app	4.5	5	900.0
5756	14326	m	16.78	17	987.0588235294117
5772	8558	app	2.7	1	2700.0
623	14502	pc	1.0	1	1000.0
629	611	m	60.13	14	4295.0
637	96	app	2144.06	237	9046.666666666666
669	14326	app	194.98	108	1805.3703703703704
669	35136	m	4.5	5	900.0
6700	35691	app	2.7	3	900.0
6700	97	pc	3.6	4	900.0
6729	96	pc	18.71	13	1439.2307692307693
6760	8523	app	69.01	49	1408.3673469387754
6770	128	pc	0.9	1	900.0
6770	8546	pc	4.21	4	1052.5
6776	234	app	1.89	2	945.0
6788	8493	pc	6.83	2	3415.0
6793	35691	m	0.9	1	900.0
686	203	m	746.93	216	3458.009259259259
699	212	pc	1.0	1	1000.0
700	8442	app	1.9	1	1900.0
7154	125	app	8.5	5	1700.0
728	156	pc	42.57	33	1290.0
740	8493	app	112.08	43	2606.5116279069766
7453	125	m	447.97	107	4186.6355140186915
7453	8543	m	13.34	6	2223.3333333333335
751	460	app	71.57	18	3976.1111111111113
7620	8493	m	5.91	5	1182.0
771	14526	pc	11.5	10	1150.0
772	14354	pc	1.0	1	1000.0
772	234	m	687.45	206	3337.135922330097
791	14326	pc	2.99	2	1495.0
7951	111	app	12.4	12	1033.3333333333333
7951	234	pc	2.9	3	966.6666666666666
7951	35694	m	7.38	5	1476.0
821	156	app	205.63	109	1886.51376146789
821	8558	m	10.14	8	1267.5
837	609	app	3836.88	366	10483.27868852459
837	8537	pc	2.7	3	900.0
858	8493	app	5.94	6	990.0
8582	156	app	33.67	32	1052.1875
872	125	m	319.37	60	5322.833333333333
872	8543	m	3.31	1	3310.0
882	203	app	1160.75	184	6308.423913043478
8973	460	m	51.04	37	1379.4594594594594
910	14455	m	123.62	76	1626.578947368421
9357	14000	m	154.78	92	1682.391304347826
9499	95	m	21.6	24	900.0
9551	14455	m	2.7	3	900.0
968	14326	m	15.44	9	1715.5555555555557
968	8608	app	1.0	1	1000.0
9688	8523	m	145.13	32	4535.3125
9749	196	app	5.65	2	2825.0
977	35691	app	5.4	5	1080.0
977	8523	pc	121.08	16	7567.5
9993	35984	m	0.99	1	990.0
10015	14000	m	197.21	53	3720.943396226415
10015	15520	app	2.1	1	2100.0
10134	14286	app	3.07	2	1535.0
1016	611	app	2.0	2	1000.0
102	102	m	1180.77	355	3326.112676056338
10285	125	pc	24.24	16	1515.0
10285	8543	pc	1.8	2	900.0
1039	203	m	250.1	143	1748.951048951049
10434	611	m	0.9	1	900.0
10467	8493	m	8.48	2	4240.0
10485	196	pc	1.0	1	1000.0
10506	125	m	101.17	38	2662.3684210526317
10506	8543	m	0.9	1	900.0
122	203	pc	3025.99	324	9339.475308641975
13950	8523	pc	45.24	10	4524.0
13951	35694	pc	4.0	4	1000.0
147	8493	app	133.16	50	2663.2
158	460	app	3874.25	531	7296.139359698682
16	14286	m	10.61	5	2122.0
16	8735	pc	54.75	13	4211.538461538462
18	609	m	15667.4	2293	6832.708242477104
2	14526	pc	231.43	89	2600.3370786516853
202	460	app	7795.44	476	16376.974789915967
2040	156	m	24.84	14	1774.2857142857142
2041	609	pc	19.99	16	1249.375
2044	611	m	3.11	2	1555.0
2047	34806	pc	2.09	2	1045.0
2048	35691	app	0.9	1	900.0
2052	96	app	4361.71	331	13177.371601208459
2053	14526	app	76.37	13	5874.615384615385
2054	8735	pc	26.48	10	2648.0
2192	156	app	3.6	4	900.0
222	14526	pc	42.36	34	1245.8823529411766
228	156	app	723.14	208	3476.6346153846152
228	8558	m	28.41	25	1136.4
2284	460	app	11.0	11	1000.0
2292	96	pc	40.92	16	2557.5
2299	310	app	14.92	7	2131.4285714285716
2307	14502	pc	1.8	2	900.0
2354	156	app	454.44	80	5680.5
2354	8558	m	2.16	2	1080.0
2372	14326	m	9.0	3	3000.0
2373	14455	pc	53.88	21	2565.714285714286
2380	34806	pc	0.9	1	900.0
2381	97	pc	1.29	1	1290.0
2392	8523	pc	38.83	4	9707.5
2422	35721	app	4.1	2	2050.0
265	34806	pc	154.82	41	3776.0975609756097
276	8735	m	7.37	7	1052.857142857143
291	14326	app	50.72	32	1585.0
297	35828	pc	0.9	1	900.0
3	14354	pc	78.67	66	1191.969696969697
3	234	m	6126.86	1273	4812.930086410055
3	29389	app	31.3	20	1565.0
304	15520	m	6.42	4	1605.0
3163	14000	app	61.65	20	3082.5
319	14000	app	3564.78	251	14202.310756972112
319	8717	app	1.0	1	1000.0
3198	96	m	321.74	75	4289.866666666667
3266	15520	m	1.0	1	1000.0
3350	203	app	35.85	26	1378.8461538461538
342	35984	app	10.48	8	1310.0
3434	35691	app	9.42	6	1570.0
3489	310	m	3.0	3	1000.0
369	611	m	1.2	1	1200.0
37	14539	pc	7.0	7	1000.0
37	35721	m	34.91	17	2053.529411764706
375	234	app	117.73	40	2943.25
397	14000	pc	2.1	2	1050.0
4	196	app	2360.97	186	12693.387096774193
4	23087	app	1622.4	223	7275.336322869955
407	15520	pc	0.9	1	900.0
413	34807	m	3.04	3	1013.3333333333334
413	611	m	1617.18	266	6079.624060150376
414	34323	pc	139.5	57	2447.3684210526317
424	26516	m	3.2	3	1066.6666666666667
424	8558	app	14.52	13	1116.923076923077
428	8523	pc	7.49	1	7490.0
463	111	m	225.47	48	4697.291666666667
468	156	pc	17.31	5	3462.0
469	14455	app	9.0	8	1125.0
483	168	pc	5283.92	504	10483.968253968254
483	207	app	243.97	57	4280.175438596491
483	212	pc	579.84	110	5271.272727272727
497	8608	pc	3.9	4	975.0
5	186	app	59.99	17	3528.823529411765
5	96	m	23975.89	5487	4369.580827410243
500	14000	m	11.22	3	3740.0
531	8546	pc	23.76	5	4752.0
5333	8516	pc	8.31	4	2077.5
537	234	app	1.9	2	950.0
556	8608	m	2.0	2	1000.0
5695	14000	m	68.64	49	1400.8163265306123
572	95	pc	296.51	72	4118.194444444444
5722	37981	pc	0.9	1	900.0
5722	8523	pc	1.0	1	1000.0
577	609	app	11.5	4	2875.0
592	26523	pc	2.7	3	900.0
5928	310	m	3.6	4	900.0
5928	611	pc	9.46	6	1576.6666666666667
606	35721	m	0.61	1	610.0
618	14000	m	1.8	2	900.0
629	360	m	202.71	49	4136.938775510204
629	37863	pc	1.8	2	900.0
637	125	app	309.67	30	10322.333333333334
637	130	pc	17.09	12	1424.1666666666667
637	14379	m	4.51	4	1127.5
637	8543	app	3.0	3	1000.0
645	168	pc	143.04	33	4334.545454545455
645	212	pc	40.58	12	3381.6666666666665
652	14000	app	655.71	62	10575.967741935483
6745	14326	app	1.0	1	1000.0
6745	460	pc	24.1	5	4820.0
679	156	app	27.1	25	1084.0
6805	14455	app	17.06	6	2843.3333333333335
686	130	app	10.36	5	2072.0
686	203	NULL	6.49	1	6490.0
696	15520	pc	0.9	1	900.0
6964	96	pc	278.23	51	5455.490196078431
722	37863	app	1.0	1	1000.0
728	111	pc	32.76	20	1638.0
740	15520	pc	14.5	9	1611.111111111111
740	36008	app	1.0	1	1000.0
7453	96	app	1258.24	137	9184.233576642337
771	8735	m	2.87	3	956.6666666666666
772	145	m	5.15	2	2575.0
776	8523	m	71.32	9	7924.444444444444
783	95	app	220.29	140	1573.5
7951	8558	app	3.6	2	1800.0
821	111	app	68.0	28	2428.5714285714284
821	234	pc	1.0	1	1000.0
837	196	app	345.43	56	6168.392857142857
837	23087	app	229.48	66	3476.969696969697
8398	130	pc	1.0	1	1000.0
8481	96	m	184.25	119	1548.3193277310925
8582	111	app	13.5	15	900.0
8582	234	pc	2.0	2	1000.0
8582	35694	m	2.7	3	900.0
8601	8735	app	1.28	1	1280.0
872	96	app	335.98	94	3574.255319148936
882	8493	pc	9.74	5	1948.0
882	8516	m	353.72	154	2296.883116883117
891	26518	m	1.5	1	1500.0
891	309	pc	1.0	1	1000.0
914	14326	m	71.72	44	1630.0
914	8608	app	3.49	2	1745.0
9326	23087	m	1.8	2	900.0
944	207	m	3.6	4	900.0
946	203	app	4.9	5	980.0
9472	8523	m	39.68	17	2334.1176470588234
952	310	pc	79.54	21	3787.6190476190477
952	460	m	2517.64	168	14985.952380952382
9617	14000	app	53.77	12	4480.833333333333
9656	190	app	1.0	1	1000.0
967	611	pc	4.54	4	1135.0
9717	14326	m	1.8	1	1800.0
977	14286	pc	1.8	2	900.0
9799	130	m	5.02	1	5020.0
9799	8516	pc	3.6	4	900.0
9811	14455	app	23.68	13	1821.5384615384614
9832	22431	pc	2.0	2	1000.0
984	35694	app	665.42	62	10732.58064516129
984	8692	app	0.9	1	900.0
993	168	m	343.44	118	2910.508474576271
9976	37863	app	1.8	2	900.0
1	37862	m	1.77	1	1770.0
1	8761	app	18.87	12	1572.5
10106	8735	app	0.9	1	900.0
10134	14526	pc	3.9	3	1300.0
10159	199	pc	1.0	1	1000.0
1016	360	app	17.39	12	1449.1666666666667
10171	609	pc	2.7	3	900.0
10184	8735	pc	1.0	1	1000.0
102	26523	m	2735.76	438	6246.027397260274
102	309	app	849.59	115	7387.739130434783
102	314	pc	165.8	29	5717.241379310345
102	36012	pc	6.5	6	1083.3333333333333
10229	14455	m	8.11	5	1622.0
1029	96	m	1434.36	279	5141.075268817204
1039	130	app	11.83	7	1690.0
10434	360	m	8.67	5	1734.0
10454	128	pc	1.0	1	1000.0
10461	14419	app	3.23	3	1076.6666666666667
10506	96	app	336.57	60	5609.5
10564	14000	app	85.04	28	3037.1428571428573
1067	609	m	9.0	10	900.0
122	14379	app	56.5	19	2973.684210526316
12804	14326	app	88.84	24	3701.6666666666665
13951	156	m	250.15	106	2359.9056603773583
147	15520	pc	56.81	23	2470.0
147	36008	app	7.89	8	986.25
16	8523	app	1938.15	102	19001.470588235294
18	196	m	1730.04	263	6578.098859315589
18	23087	m	2122.63	865	2453.907514450867
2	171	app	220.71	96	2299.0625
2	26515	pc	31.22	34	918.2352941176471
2	8735	m	156.93	44	3566.590909090909
2015	8735	m	38.41	26	1477.3076923076924
2038	34807	pc	1.0	1	1000.0
2040	111	m	0.9	1	900.0
2041	14379	m	1.0	1	1000.0
2041	196	pc	1.0	1	1000.0
2044	360	m	11.81	9	1312.2222222222222
2045	156	pc	588.61	83	7091.686746987952
2047	14502	pc	5.5	6	916.6666666666666
2048	14286	pc	0.9	1	900.0
2049	310	m	142.77	52	2745.576923076923
2049	611	pc	11.82	5	2364.0
2052	125	app	628.12	42	14955.238095238095
2052	130	pc	7.99	7	1141.4285714285713
2052	8543	app	46.93	15	3128.6666666666665
2053	26520	pc	2.0	2	1000.0
2054	8523	app	807.18	180	4484.333333333333
2055	35694	app	49.58	21	2360.9523809523807
2192	234	pc	2.67	2	1335.0
2192	35694	m	1.8	2	900.0
222	8735	m	14.0	10	1400.0
228	111	app	138.42	51	2714.1176470588234
228	234	pc	20.19	7	2884.285714285714
2302	14502	app	12.15	7	1735.7142857142858
2303	14286	app	0.9	1	900.0
2329	8735	app	0.9	1	900.0
2354	111	app	82.78	47	1761.276595744681
2354	35694	m	9.3	10	930.0
2360	95	app	14.04	13	1080.0
2381	14286	pc	1.8	2	900.0
2389	168	app	291.16	85	3425.4117647058824
2389	212	app	37.27	21	1774.7619047619048
2393	156	m	1.5	1	1500.0
2394	609	pc	7.0	7	1000.0
2397	26516	m	1.5	1	1500.0
241	310	pc	771.18	270	2856.222222222222
241	460	m	7685.57	1499	5127.1314209472985
2429	95	pc	137.03	57	2404.035087719298
265	14502	pc	90.94	74	1228.918918918919
3	145	m	77.69	41	1894.878048780488
319	710	pc	66.47	36	1846.388888888889
319	97	pc	21.1	20	1055.0
330	128	m	38.48	7	5497.142857142857
330	311	pc	129.04	42	3072.3809523809523
330	8546	m	10.71	3	3570.0
3328	128	app	2.9	3	966.6666666666666
3328	14455	pc	38.89	12	3240.8333333333335
3350	8493	pc	1.81	2	905.0
342	309	pc	729.69	101	7224.653465346535
342	8442	app	25.82	23	1122.608695652174
3434	14286	pc	4.6	4	1150.0
3453	130	m	0.93	1	930.0
3479	14326	app	1.0	1	1000.0
3479	460	pc	5.07	4	1267.5
3489	34323	app	1.0	1	1000.0
3489	360	pc	16.98	4	4245.0
355	14326	app	30.39	24	1266.25
362	14379	pc	7.88	7	1125.7142857142858
369	360	m	1.35	1	1350.0
37	168	m	12614.27	3252	3878.9268142681426
37	212	m	2484.65	836	2972.0693779904304
385	168	pc	895.57	113	7925.398230088495
385	212	pc	6.22	5	1244.0
4	24056	pc	61.56	28	2198.5714285714284
4	35694	pc	999.47	217	4605.852534562212
4	8692	pc	2.0	2	1000.0
403	310	pc	148.78	54	2755.185185185185
403	460	m	107.93	49	2202.6530612244896
413	360	m	1669.38	473	3529.3446088794926
413	37863	pc	307.59	108	2848.0555555555557
413	8445	m	233.92	100	2339.2
414	156	pc	4224.0	648	6518.518518518518
428	14286	pc	1.0	1	1000.0
463	156	app	1220.35	216	5649.768518518518
463	8558	m	185.94	37	5025.405405405405
471	199	pc	14.21	9	1578.888888888889
497	311	app	1.8	2	900.0
5	125	m	15337.12	3570	4296.112044817927
5	41588	pc	19.14	16	1196.25
5	8543	m	61.15	18	3397.222222222222
505	14000	pc	555.03	38	14606.052631578947
523	609	app	288.4	85	3392.9411764705883
523	8537	pc	2.0	2	1000.0
5333	203	m	22.25	10	2225.0
536	26531	m	0.91	1	910.0
536	8735	app	2.87	2	1435.0
541	133	m	31.84	21	1516.1904761904761
541	311	app	417.39	60	6956.5
5653	460	m	0.9	1	900.0
572	35694	m	33.48	20	1674.0
572	8537	app	2.0	2	1000.0
572	8692	m	2.0	2	1000.0
5722	8746	m	0.9	1	900.0
5756	14326	app	9.9	11	900.0
