sloc1	scate2	platform	common_pos
4	8442	pc	5
403	14286	pc	2
403	8523	m	5
408	360	app	1
413	26531	app	6
414	26521	app	1
414	37981	m	3
450	130	m	8
450	203	pc	4
450	41588	app	1
455	96	app	6
463	118	m	1
463	8609	pc	1
497	111	m	4
497	8558	pc	2
5	8493	app	6
500	14502	m	1
502	8558	app	1
518	36011	app	1
531	14326	app	3
5334	460	m	2
536	8608	pc	1
541	111	m	5
541	34323	app	1
541	8558	pc	4
5632	34807	pc	1
5632	36488	app	2
5653	8523	m	3
5695	14502	m	1
5733	168	app	2
5733	212	app	1
5772	168	pc	5
5772	212	pc	2
5853	26531	pc	1
592	125	pc	7
592	8543	pc	4
592	96	m	6
5928	8735	m	2
5936	8493	m	2
5942	34323	app	2
618	14502	m	1
623	14001	m	1
629	14526	app	1
648	36488	m	1
652	14502	app	1
652	8444	app	1
656	96	pc	2
669	26521	m	1
6718	37861	m	1
6718	8692	m	1
6729	8493	pc	2
6752	95	pc	1
6760	14455	pc	4
6760	35828	app	1
679	207	app	1
6805	8558	app	1
686	14000	app	6
693	111	app	7
6964	8516	app	4
697	360	app	1
700	96	pc	8
710	203	m	5
7133	8537	m	1
7289	234	m	1
7453	36488	pc	1
751	8735	pc	1
772	168	app	7
772	212	app	3
776	128	app	2
79	36488	m	1
791	8558	app	2
801	156	app	6
811	37981	pc	1
831	35828	pc	1
836	8659	m	2
837	35984	m	2
837	8442	pc	3
845	37864	app	1
8481	8493	app	1
8760	186	pc	1
8760	8855	m	1
882	14419	m	1
891	186	m	1
910	35694	m	2
910	8537	app	1
914	234	m	8
93	199	m	3
9389	133	pc	1
9389	14455	pc	1
946	14419	pc	1
9472	128	app	1
9517	111	m	1
952	14286	m	7
9551	111	app	2
9551	35694	m	1
9656	14502	pc	1
9656	34806	m	1
9688	311	pc	1
9717	360	app	1
977	128	pc	1
977	8546	pc	4
979	95	app	1
9799	35691	pc	2
9811	8558	app	1
9832	14000	m	6
9837	95	app	1
984	102	pc	1
984	309	m	1
9854	360	m	7
9871	15520	pc	1
1	460	pc	14
10088	15520	m	4
10106	8608	m	2
10171	95	app	1
10198	460	pc	1
102	41588	pc	7
10229	156	app	2
10229	35694	pc	1
10260	96	app	1
10285	8493	m	2
1029	8493	app	2
10387	190	pc	1
10448	199	app	3
10461	96	pc	1
10506	36488	pc	1
10539	8537	pc	1
1057	8537	app	2
1057	8692	m	1
1067	14000	pc	3
1078	34807	m	1
1096	22431	m	1
1096	8537	pc	1
11077	14000	pc	1
122	15520	m	4
12291	8537	app	1
12804	8746	m	1
135	14455	m	13
13950	128	pc	1
13950	8546	pc	2
158	8735	pc	5
16	311	m	8
172	310	m	5
172	36488	pc	1
1734	309	pc	1
188	8658	app	1
202	8735	pc	2
2032	96	app	6
2037	186	pc	1
2041	190	pc	2
2042	8516	m	8
2047	130	pc	4
2048	8761	app	1
2049	8735	m	1
2052	36488	m	1
2053	14326	app	4
2053	35136	m	1
2054	311	m	3
2055	168	pc	8
2055	212	pc	1
2248	125	app	1
2248	8543	app	1
2284	8735	pc	4
2292	8493	pc	3
2303	199	pc	1
2307	130	m	2
2307	14363	pc	1
2307	203	pc	1
2315	168	m	1
2315	26523	pc	1
2319	128	m	2
2319	8546	m	1
2329	8608	m	1
2337	14286	app	1
2363	8608	app	1
2373	156	pc	7
2380	130	pc	5
2381	26520	pc	1
2389	14379	app	1
2389	41588	m	1
2389	609	pc	2
2390	8493	m	1
2392	128	pc	3
2392	8546	pc	1
2393	207	m	1
2395	203	app	1
241	14286	m	8
2429	14419	app	1
265	14001	pc	1
265	199	app	5
265	8645	m	1
276	8608	pc	1
291	26521	m	1
293	125	app	1
293	14379	m	2
297	196	m	4
297	23087	m	3
3	14539	pc	1
3	168	app	8
3	212	app	6
304	14502	pc	1
304	34806	m	6
3251	102	app	1
3266	14502	pc	3
3266	34806	m	1
342	186	m	5
3445	8546	pc	2
3453	35691	pc	1
355	234	app	3
357	96	app	4
367	22431	m	1
367	8516	m	1
394	234	pc	2
394	26516	app	1
399	8558	pc	2
4	8442	m	5
403	14286	m	2
408	37863	pc	1
409	156	pc	2
413	14526	app	4
424	168	pc	9
424	212	pc	1
428	128	pc	1
428	8546	pc	1
450	203	m	4
455	125	app	2
455	8543	app	1
463	8609	m	1
471	460	app	7
497	156	app	4
497	8558	m	3
5	36008	app	1
523	23065	app	3
541	156	app	6
541	8558	m	5
556	234	pc	1
556	26516	app	1
5632	34807	m	1
5632	8717	pc	1
5695	34806	app	1
5722	128	pc	1
5722	8546	pc	2
5772	168	m	6
5772	212	m	2
5853	26531	m	1
5898	310	app	1
592	125	m	8
592	8543	m	3
637	15520	pc	1
656	125	pc	5
656	96	m	1
6729	8493	m	3
6752	95	m	1
6760	14455	m	4
6776	36012	m	1
6788	97	pc	1
686	14419	pc	1
693	8558	app	2
6964	8493	pc	3
697	35691	app	3
700	125	pc	5
700	8543	pc	1
700	96	m	12
710	130	app	3
722	128	app	1
722	8546	app	5
725	22431	app	1
7303	128	app	1
7303	8546	app	1
7468	35691	pc	1
751	8735	m	1
7620	14286	app	1
771	133	app	2
771	8608	pc	3
772	8659	app	1
776	311	pc	1
783	26523	app	2
79	310	app	2
7951	168	pc	1
7951	212	pc	2
801	111	app	2
801	26516	pc	1
811	26521	app	1
811	37981	m	1
831	35828	m	1
836	168	app	1
836	212	app	3
837	8442	m	2
8694	14455	app	4
8716	309	app	1
8760	186	m	1
8854	35691	pc	2
891	96	pc	6
901	186	pc	1
9326	23065	app	1
9389	133	m	1
9389	14455	m	1
944	14455	app	1
944	38116	app	1
9472	311	pc	1
9517	156	app	1
952	8523	app	7
9530	460	pc	5
961	199	pc	1
9617	8855	pc	1
9656	14502	m	1
968	234	app	1
9688	311	m	1
977	128	m	1
977	8546	m	4
979	190	pc	1
9799	35691	m	2
984	102	m	1
984	26523	pc	4
9854	611	app	1
1	460	m	13
10088	14000	pc	5
10115	360	app	7
10198	460	m	1
102	14379	app	3
102	41588	m	8
10229	35694	m	1
10260	125	app	3
10291	310	app	2
10387	190	m	1
1039	35691	app	2
1039	37863	pc	1
10394	460	app	2
10461	125	pc	3
10461	8543	pc	1
10461	96	m	1
10506	36488	m	1
10524	609	app	1
10539	8537	m	1
10564	8855	pc	1
1057	36008	pc	1
1067	14000	m	4
1067	15520	app	1
1078	35691	pc	2
1096	8537	m	1
11077	14000	m	1
122	14000	pc	12
122	8717	pc	1
12291	36008	pc	1
12804	14354	pc	2
13950	128	m	1
13950	8546	m	2
158	171	app	2
158	8735	m	4
16	133	pc	4
172	36488	m	1
1734	309	m	1
18	113	pc	1
18	23065	app	4
18	35984	pc	3
2	133	app	6
2	8608	pc	12
2015	133	app	6
2015	14455	app	5
202	171	app	2
202	8735	m	2
2032	125	app	3
2032	8543	app	1
2037	186	m	1
2040	207	app	1
2041	15520	pc	7
2041	190	m	1
2047	130	m	5
2047	14363	pc	1
2047	203	pc	5
2054	14455	pc	6
2055	168	m	10
2055	212	m	1
222	133	app	2
222	8608	pc	3
2247	8692	pc	1
228	35721	pc	1
2284	8735	m	3
2292	8493	m	4
2299	35721	pc	1
2303	199	m	1
2307	14363	m	1
2307	203	m	1
2315	26523	m	1
2328	460	app	3
2371	26531	pc	1
2373	111	pc	5
2373	156	m	7
2378	23087	pc	1
2378	350	pc	1
2380	130	m	4
2380	203	pc	5
2381	26520	m	1
2389	196	pc	1
