sloc1	scate2	platform	clks_one_day	sloc-scate	online_price	member_price	valid_rate_new	jz_clks_one_day	predict_clks	pos_ctr	common_pos_jz	common_pos_zd	start_pos	end_pos	zd_get_clks	acp_jz	zd_cnt	zdprice
1734	8516	m	33	1734-8516	14.4	10.8	1.0	1.0	33.0	0.375	1.0	3	2.0	9.0	1.0	2.30769230769	7.0	0.33
18	14379	pc	52	18-14379	3.12	2.34	0.3	6.0	15.6	0.233516483516	6.0	4	7.0	15.0	4.0	0.9	8.0	0.45
18	14379	app	74	18-14379	3.12	2.34	1.0	4.0	74.0	0.452793834297	3.0	4	4.0	12.0	4.0	0.9	8.0	0.45
18	14379	m	43	18-14379	3.12	2.34	0.57	6.0	24.51	0.260586319218	5.0	4	6.0	14.0	6.0	0.9	8.0	0.68
18	190	app	171	18-190	57.84	43.38	1.0	31.0	171.0	0.2725	6.0	1	7.0	12.0	31.0	3.25081196581	5.0	20.16
18	190	m	161	18-190	57.84	43.38	1.0	43.0	161.0	0.0408163265306	20.0	1	21.0	26.0	7.0	0.978611111111	5.0	1.37
18	190	pc	292	18-190	57.84	43.38	0.54	26.0	157.68	0.19110459433	10.0	1	11.0	16.0	26.0	0.973611111111	5.0	5.06
188	35136	app	1062	188-35136	60.24	45.18	1.0	60.0	1062.0	0.322975517891	4.0	2	5.0	11.0	60.0	0.934375	6.0	9.34
188	35136	m	258	188-35136	60.24	45.18	0.89	21.0	229.62	0.217367256637	4.0	2	5.0	11.0	21.0	0.943333333333	6.0	3.3
188	35136	pc	82	188-35136	60.24	45.18	0.51	12.0	41.82	0.200692041522	4.0	2	5.0	11.0	8.0	0.93375	6.0	1.25
188	35721	pc	25	188-35721	44.88	33.66	0.75	5.0	18.75	0.288888888889	5.0	7	6.0	22.0	5.0	2.315	16.0	0.72
188	35721	app	17	188-35721	44.88	33.66	1.0	0.0	17.0	0.472	4.0	7	5.0	21.0	8.0	2.11	16.0	1.06
188	35721	m	6	188-35721	44.88	33.66	0.95	1.0	5.7	0.522727272727	8.0	7	9.0	25.0	1.0	1.99	16.0	0.12
2	311	app	345	2-311	170.88	128.16	1.0	29.0	345.0	0.404633843608	4.0	4	5.0	13.0	29.0	4.41678571429	8.0	16.01
2	311	m	103	2-311	170.88	128.16	0.91	13.0	93.73	0.095041322314	17.0	4	18.0	26.0	9.0	3.30041666667	8.0	3.71
2	311	pc	366	2-311	170.88	128.16	0.49	60.0	179.34	0.205218068536	9.0	4	10.0	18.0	37.0	2.74746875	8.0	12.71
2015	311	app	91	2015-311	46.56	34.92	1.0	6.0	91.0	0.319749216301	5.0	3	6.0	13.0	6.0	1.01875	7.0	0.87
2015	311	m	37	2015-311	46.56	34.92	0.74	4.0	27.38	0.426923076923	6.0	3	7.0	14.0	4.0	0.8775	7.0	0.5
2015	311	pc	69	2015-311	46.56	34.92	0.54	12.0	37.26	0.211180124224	6.0	3	7.0	14.0	8.0	0.938	7.0	1.07
